wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 9.060102e-06
1.020000e+03, 1.421409e-05
1.040400e+03, 8.554624e-05
1.061208e+03, 2.419972e-04
1.082432e+03, 9.241155e-04
1.104081e+03, 2.625379e-03
1.126162e+03, 9.168873e-03
1.148686e+03, 2.122643e-02
1.171659e+03, 3.598313e-02
1.195093e+03, 1.234093e-01
1.218994e+03, 2.027727e-01
1.243374e+03, 1.498138e+00
1.268242e+03, 3.001662e+00
1.293607e+03, 8.299233e+00
1.319479e+03, 1.585105e+01
1.345868e+03, 3.461388e+01
1.372786e+03, 6.812614e+01
1.400241e+03, 2.209225e+02
1.428246e+03, 5.297178e+02
1.456811e+03, 1.077332e+03
1.485947e+03, 2.098875e+03
1.515666e+03, 3.524786e+03
1.545980e+03, 4.472438e+03
1.576899e+03, 9.226132e+03
1.608437e+03, 1.229255e+04
1.640606e+03, 2.344798e+04
1.673418e+03, 4.293446e+04
1.706886e+03, 7.810572e+04
1.741024e+03, 1.445056e+05
1.775845e+03, 2.561698e+05
1.811362e+03, 4.513306e+05
1.847589e+03, 7.002740e+05
1.884541e+03, 1.224702e+06
1.922231e+03, 2.231055e+06
1.960676e+03, 3.670091e+06
1.999890e+03, 6.018889e+06
2.039887e+03, 9.356704e+06
2.080685e+03, 2.034473e+07
2.122299e+03, 3.476709e+07
2.164745e+03, 4.675937e+07
2.208040e+03, 7.828058e+07
2.252200e+03, 1.362867e+08
2.297244e+03, 2.211338e+08
2.343189e+03, 3.313944e+08
2.390053e+03, 6.508917e+08
2.437854e+03, 1.274130e+09
2.486611e+03, 1.399031e+09
2.536344e+03, 3.548662e+09
2.587070e+03, 4.730997e+09
2.638812e+03, 1.359995e+10
2.691588e+03, 1.696605e+10
2.745420e+03, 2.178608e+10
2.800328e+03, 4.129262e+10
2.856335e+03, 3.656089e+10
2.913461e+03, 1.263442e+11
2.971731e+03, 1.027474e+11
3.031165e+03, 1.305303e+11
3.091789e+03, 3.801493e+11
3.153624e+03, 8.457494e+11
3.216697e+03, 8.582463e+11
3.281031e+03, 1.635732e+12
3.346651e+03, 1.506779e+12
3.413584e+03, 1.336559e+12
3.481856e+03, 1.497443e+12
3.551493e+03, 2.011689e+12
3.622523e+03, 1.955513e+12
3.694974e+03, 2.854756e+12
3.768873e+03, 2.836515e+12
3.844251e+03, 2.634912e+12
3.921136e+03, 3.086794e+12
3.999558e+03, 6.183776e+12
4.079549e+03, 8.144788e+12
