wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 5.629163e-29
1.020000e+03, 2.249209e-29
1.040400e+03, 9.454183e-27
1.061208e+03, 3.794767e-26
1.082432e+03, 6.888528e-23
1.104081e+03, 1.500182e-19
1.126162e+03, 8.125595e-15
1.148686e+03, 3.440391e-14
1.171659e+03, 3.409180e-13
1.195093e+03, 1.191080e-12
1.218994e+03, 5.240164e-13
1.243374e+03, 8.729279e-13
1.268242e+03, 8.653243e-13
1.293607e+03, 1.151418e-11
1.319479e+03, 1.714419e-11
1.345868e+03, 6.163532e-11
1.372786e+03, 1.366660e-10
1.400241e+03, 3.148536e-09
1.428246e+03, 2.010640e-08
1.456811e+03, 5.341344e-08
1.485947e+03, 1.229118e-07
1.515666e+03, 1.352610e-07
1.545980e+03, 7.063590e-08
1.576899e+03, 2.382648e-07
1.608437e+03, 2.504270e-07
1.640606e+03, 2.279764e-04
1.673418e+03, 8.605285e-05
1.706886e+03, 5.059674e-04
1.741024e+03, 1.840813e-03
1.775845e+03, 1.080113e-02
1.811362e+03, 3.100481e-02
1.847589e+03, 4.488507e-02
1.884541e+03, 1.572582e-01
1.922231e+03, 1.255068e+00
1.960676e+03, 2.871417e+00
1.999890e+03, 7.524379e+00
2.039887e+03, 1.477712e+01
2.080685e+03, 2.642886e+01
2.122299e+03, 7.325359e+01
2.164745e+03, 8.537523e+01
2.208040e+03, 2.953969e+02
2.252200e+03, 1.042200e+03
2.297244e+03, 1.790003e+03
2.343189e+03, 8.996127e+03
2.390053e+03, 4.176447e+04
2.437854e+03, 1.540934e+05
2.486611e+03, 4.428606e+04
2.536344e+03, 5.465457e+05
2.587070e+03, 1.868728e+06
2.638812e+03, 1.576480e+07
2.691588e+03, 1.398017e+07
2.745420e+03, 1.201804e+07
2.800328e+03, 2.238238e+07
2.856335e+03, 6.808867e+06
2.913461e+03, 1.133596e+08
2.971731e+03, 4.142737e+07
3.031165e+03, 5.806087e+07
3.091789e+03, 1.951466e+09
3.153624e+03, 1.410389e+10
3.216697e+03, 9.361067e+09
3.281031e+03, 3.378251e+10
3.346651e+03, 3.383842e+10
3.413584e+03, 9.976439e+09
3.481856e+03, 5.000547e+09
3.551493e+03, 2.544629e+10
3.622523e+03, 1.822591e+10
3.694974e+03, 2.938458e+10
3.768873e+03, 3.689090e+10
3.844251e+03, 2.162170e+10
3.921136e+03, 2.380344e+10
3.999558e+03, 1.651832e+11
4.079549e+03, 2.633987e+11
4.161140e+03, 1.428475e+11
4.244363e+03, 2.290702e+10
4.329250e+03, 1.772311e+11
4.415835e+03, 2.081521e+11
4.504152e+03, 2.288330e+11
4.594235e+03, 1.967787e+11
4.686120e+03, 1.878816e+11
4.779842e+03, 1.475413e+11
4.875439e+03, 2.688527e+11
4.972948e+03, 3.110965e+11
5.072407e+03, 3.149643e+11
5.173855e+03, 3.971215e+11
5.277332e+03, 5.471592e+11
5.382879e+03, 8.076043e+11
5.490536e+03, 4.423080e+11
5.600347e+03, 4.544524e+11
5.712354e+03, 5.655838e+11
5.826601e+03, 4.908741e+11
5.943133e+03, 2.452624e+11
6.061996e+03, 9.044516e+11
6.183236e+03, 6.098224e+11
6.306900e+03, 5.540009e+11
6.433038e+03, 9.626269e+11
6.561699e+03, 1.498644e+12
6.692933e+03, 6.771069e+11
6.826792e+03, 7.046745e+11
6.963328e+03, 2.162131e+12
7.102594e+03, 1.419267e+12
7.244646e+03, 1.932960e+12
7.389539e+03, 7.188510e+12
7.537330e+03, 8.579695e+12
7.688076e+03, 2.378369e+12
7.841838e+03, 4.548344e+12
7.998675e+03, 9.196189e+12
8.158648e+03, 1.383116e+13
8.321821e+03, 1.190059e+13
8.488258e+03, 6.379643e+12
8.658023e+03, 9.202632e+12
8.831183e+03, 1.220330e+13
9.007807e+03, 1.286472e+13
9.187963e+03, 1.798280e+13
9.371722e+03, 1.444808e+13
9.559157e+03, 1.956669e+13
9.750340e+03, 2.032859e+13
9.945347e+03, 1.160923e+13
1.014425e+04, 1.181935e+13
1.034714e+04, 1.248036e+13
1.055408e+04, 1.674075e+13
1.076516e+04, 2.191003e+13
1.098047e+04, 2.322522e+13
1.120008e+04, 2.274748e+13
1.142408e+04, 2.225849e+13
1.165256e+04, 2.295750e+13
1.188561e+04, 2.177248e+13
1.212332e+04, 2.191183e+13
1.236579e+04, 2.174959e+13
1.261310e+04, 2.150079e+13
1.286537e+04, 2.218185e+13
1.312267e+04, 2.254266e+13
1.338513e+04, 1.666985e+13
1.365283e+04, 1.481412e+13
1.392589e+04, 1.452327e+13
1.420440e+04, 1.261152e+13
1.448849e+04, 1.289886e+13
1.477826e+04, 1.293040e+13
1.507383e+04, 1.344784e+13
1.537530e+04, 1.418051e+13
1.568281e+04, 1.493146e+13
1.599647e+04, 1.576203e+13
1.631640e+04, 1.628244e+13
1.664272e+04, 1.657483e+13
1.697558e+04, 1.569640e+13
1.731509e+04, 1.290345e+13
1.766139e+04, 1.042118e+13
1.801462e+04, 8.650389e+12
1.837491e+04, 7.829491e+12
1.874241e+04, 7.052880e+12
1.911726e+04, 7.532793e+12
1.949960e+04, 6.848217e+12
1.988959e+04, 6.367814e+12
2.028739e+04, 6.489282e+12
2.069313e+04, 6.725292e+12
2.110700e+04, 7.102533e+12
2.152914e+04, 7.425749e+12
2.195972e+04, 7.407247e+12
2.239891e+04, 7.390150e+12
2.284689e+04, 6.829270e+12
2.330383e+04, 5.827862e+12
2.376991e+04, 5.124156e+12
2.424531e+04, 4.142100e+12
2.473021e+04, 3.363659e+12
2.522482e+04, 2.825992e+12
2.572931e+04, 2.642435e+12
2.624390e+04, 2.701960e+12
2.676878e+04, 2.603558e+12
2.730415e+04, 2.239739e+12
2.785023e+04, 2.113314e+12
2.840724e+04, 1.973796e+12
2.897538e+04, 1.892191e+12
2.955489e+04, 1.807354e+12
3.014599e+04, 1.762932e+12
3.074891e+04, 1.743304e+12
3.136389e+04, 1.731538e+12
3.199117e+04, 1.721719e+12
3.263099e+04, 1.739118e+12
3.328361e+04, 1.738428e+12
3.394928e+04, 1.714763e+12
3.462827e+04, 1.696210e+12
3.532083e+04, 1.666223e+12
3.602725e+04, 1.619943e+12
3.674779e+04, 1.578627e+12
3.748275e+04, 1.550380e+12
3.823240e+04, 1.499269e+12
3.899705e+04, 1.429097e+12
3.977699e+04, 1.320334e+12
4.057253e+04, 1.153994e+12
4.138398e+04, 1.036955e+12
4.221166e+04, 9.487620e+11
4.305590e+04, 8.500418e+11
4.391701e+04, 7.359666e+11
4.479535e+04, 6.606313e+11
4.569126e+04, 6.024744e+11
4.660509e+04, 5.666351e+11
4.753719e+04, 5.285626e+11
4.848793e+04, 4.969403e+11
4.945769e+04, 4.622505e+11
5.044684e+04, 4.190731e+11
5.145578e+04, 3.932531e+11
5.248490e+04, 3.652972e+11
5.353460e+04, 3.446989e+11
5.460529e+04, 3.186510e+11
5.569739e+04, 2.961508e+11
5.681134e+04, 2.783779e+11
5.794757e+04, 2.653233e+11
5.910652e+04, 2.531484e+11
6.028865e+04, 2.445809e+11
6.149442e+04, 2.359926e+11
6.272431e+04, 2.267044e+11
6.397880e+04, 2.035684e+11
6.525837e+04, 1.661696e+11
6.656354e+04, 1.448664e+11
6.789481e+04, 1.371960e+11
6.925271e+04, 1.310097e+11
7.063776e+04, 1.218919e+11
7.205052e+04, 1.175936e+11
7.349153e+04, 1.098092e+11
7.496136e+04, 1.041652e+11
7.646058e+04, 9.347942e+10
7.798980e+04, 8.582292e+10
7.954959e+04, 7.853888e+10
8.114058e+04, 7.432931e+10
8.276340e+04, 6.960949e+10
8.441866e+04, 6.592925e+10
8.610704e+04, 6.264786e+10
8.782918e+04, 5.873773e+10
8.958576e+04, 5.654828e+10
9.137748e+04, 5.391815e+10
9.320503e+04, 5.099043e+10
9.506913e+04, 4.863088e+10
9.697051e+04, 4.574324e+10
9.890992e+04, 4.292034e+10
1.008881e+05, 4.041281e+10
1.029059e+05, 3.769013e+10
1.049640e+05, 3.463397e+10
1.070633e+05, 3.223092e+10
1.092045e+05, 2.976330e+10
1.113886e+05, 2.733664e+10
1.136164e+05, 2.551374e+10
1.158887e+05, 2.331632e+10
1.182065e+05, 2.144442e+10
1.205706e+05, 2.013639e+10
1.229821e+05, 1.870832e+10
1.254417e+05, 1.695255e+10
1.279505e+05, 1.594193e+10
1.305095e+05, 1.482363e+10
1.331197e+05, 1.375870e+10
1.357821e+05, 1.261825e+10
1.384978e+05, 1.190052e+10
1.412677e+05, 1.090563e+10
1.440931e+05, 1.014475e+10
1.469749e+05, 9.456335e+09
1.499144e+05, 8.766794e+09
1.529127e+05, 8.086598e+09
1.559710e+05, 7.581978e+09
1.590904e+05, 6.954509e+09
1.622722e+05, 6.510790e+09
1.655177e+05, 6.027041e+09
1.688280e+05, 5.672487e+09
1.722046e+05, 5.174352e+09
1.756487e+05, 4.819013e+09
1.791616e+05, 4.565506e+09
1.827449e+05, 4.220106e+09
1.863998e+05, 3.883184e+09
1.901278e+05, 3.681827e+09
1.939303e+05, 3.358776e+09
1.978089e+05, 3.134542e+09
