wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 1.630081e-04
1.020000e+03, 2.011923e-04
1.040400e+03, 1.571360e-03
1.061208e+03, 4.469132e-03
1.082432e+03, 1.771101e-02
1.104081e+03, 5.046257e-02
1.126162e+03, 1.663262e-01
1.148686e+03, 3.002885e-01
1.171659e+03, 3.676241e-01
1.195093e+03, 1.450357e+00
1.218994e+03, 1.968042e+00
1.243374e+03, 2.284318e+01
1.268242e+03, 4.344572e+01
1.293607e+03, 1.233751e+02
1.319479e+03, 2.082922e+02
1.345868e+03, 4.323325e+02
1.372786e+03, 7.698744e+02
1.400241e+03, 2.882256e+03
1.428246e+03, 6.712831e+03
1.456811e+03, 1.310715e+04
1.485947e+03, 2.441985e+04
1.515666e+03, 4.003771e+04
1.545980e+03, 4.257892e+04
1.576899e+03, 8.994036e+04
1.608437e+03, 9.713526e+04
1.640606e+03, 1.878752e+05
1.673418e+03, 3.383297e+05
1.706886e+03, 6.139857e+05
1.741024e+03, 1.125813e+06
1.775845e+03, 1.912071e+06
1.811362e+03, 3.271780e+06
1.847589e+03, 4.764134e+06
1.884541e+03, 8.206269e+06
1.922231e+03, 1.476365e+07
1.960676e+03, 2.362878e+07
1.999890e+03, 3.767075e+07
2.039887e+03, 5.618910e+07
2.080685e+03, 1.153414e+08
2.122299e+03, 1.845742e+08
2.164745e+03, 2.336506e+08
2.208040e+03, 3.672163e+08
2.252200e+03, 6.059348e+08
2.297244e+03, 9.562603e+08
2.343189e+03, 1.369686e+09
2.390053e+03, 2.394108e+09
2.437854e+03, 4.233115e+09
2.486611e+03, 4.970725e+09
2.536344e+03, 1.056484e+10
2.587070e+03, 1.365079e+10
2.638812e+03, 3.301260e+10
2.691588e+03, 4.137270e+10
2.745420e+03, 5.333480e+10
2.800328e+03, 9.447770e+10
2.856335e+03, 9.052295e+10
2.913461e+03, 2.665150e+11
2.971731e+03, 2.291409e+11
3.031165e+03, 2.909558e+11
3.091789e+03, 7.485898e+11
3.153624e+03, 1.548711e+12
3.216697e+03, 1.587342e+12
3.281031e+03, 2.921112e+12
3.346651e+03, 2.628405e+12
3.413584e+03, 2.427613e+12
3.481856e+03, 2.865407e+12
3.551493e+03, 3.608518e+12
3.622523e+03, 3.560951e+12
3.694974e+03, 5.139157e+12
3.768873e+03, 5.021776e+12
3.844251e+03, 4.661789e+12
3.921136e+03, 5.440912e+12
3.999558e+03, 1.040023e+13
4.079549e+03, 1.350245e+13
4.161140e+03, 1.369410e+13
4.244363e+03, 9.046097e+12
4.329250e+03, 1.680049e+13
4.415835e+03, 1.804197e+13
4.504152e+03, 2.265618e+13
4.594235e+03, 2.415243e+13
4.686120e+03, 2.357865e+13
4.779842e+03, 2.048329e+13
4.875439e+03, 2.623508e+13
4.972948e+03, 2.286393e+13
5.072407e+03, 2.160759e+13
5.173855e+03, 2.219386e+13
5.277332e+03, 3.491587e+13
5.382879e+03, 3.920387e+13
5.490536e+03, 3.627465e+13
5.600347e+03, 3.879213e+13
5.712354e+03, 4.485943e+13
5.826601e+03, 4.527464e+13
5.943133e+03, 3.644902e+13
6.061996e+03, 5.121274e+13
6.183236e+03, 4.236777e+13
6.306900e+03, 4.379036e+13
6.433038e+03, 4.755823e+13
6.561699e+03, 5.802737e+13
6.692933e+03, 4.763426e+13
6.826792e+03, 4.030312e+13
6.963328e+03, 5.233269e+13
7.102594e+03, 5.166944e+13
7.244646e+03, 5.888385e+13
7.389539e+03, 7.435420e+13
7.537330e+03, 7.804864e+13
7.688076e+03, 6.850622e+13
7.841838e+03, 7.086785e+13
7.998675e+03, 7.686387e+13
8.158648e+03, 7.851281e+13
8.321821e+03, 7.765733e+13
8.488258e+03, 7.262830e+13
8.658023e+03, 7.528639e+13
8.831183e+03, 7.579831e+13
9.007807e+03, 7.473227e+13
9.187963e+03, 7.635647e+13
9.371722e+03, 7.460507e+13
9.559157e+03, 7.448194e+13
9.750340e+03, 7.290204e+13
9.945347e+03, 7.032648e+13
1.014425e+04, 6.973356e+13
1.034714e+04, 6.793129e+13
1.055408e+04, 6.813137e+13
1.076516e+04, 6.679127e+13
1.098047e+04, 6.612151e+13
1.120008e+04, 6.472710e+13
1.142408e+04, 6.312850e+13
1.165256e+04, 6.221018e+13
1.188561e+04, 6.010944e+13
1.212332e+04, 5.944826e+13
1.236579e+04, 5.799178e+13
1.261310e+04, 5.637477e+13
1.286537e+04, 5.470347e+13
1.312267e+04, 5.323413e+13
1.338513e+04, 5.111632e+13
1.365283e+04, 4.980005e+13
1.392589e+04, 4.758838e+13
1.420440e+04, 4.632119e+13
1.448849e+04, 4.490969e+13
1.477826e+04, 4.324653e+13
1.507383e+04, 4.261361e+13
1.537530e+04, 4.177292e+13
1.568281e+04, 4.088186e+13
1.599647e+04, 4.060359e+13
1.631640e+04, 3.915653e+13
1.664272e+04, 3.815486e+13
1.697558e+04, 3.631411e+13
1.731509e+04, 3.394603e+13
1.766139e+04, 3.127238e+13
1.801462e+04, 2.892843e+13
1.837491e+04, 2.674451e+13
1.874241e+04, 2.509103e+13
1.911726e+04, 2.407246e+13
1.949960e+04, 2.181036e+13
1.988959e+04, 2.034919e+13
2.028739e+04, 2.026074e+13
2.069313e+04, 1.915779e+13
2.110700e+04, 1.824145e+13
2.152914e+04, 1.753746e+13
2.195972e+04, 1.660554e+13
2.239891e+04, 1.591537e+13
2.284689e+04, 1.474787e+13
2.330383e+04, 1.349603e+13
2.376991e+04, 1.244737e+13
2.424531e+04, 1.126274e+13
2.473021e+04, 9.846546e+12
2.522482e+04, 8.600334e+12
2.572931e+04, 8.442467e+12
2.624390e+04, 8.160607e+12
2.676878e+04, 7.692524e+12
2.730415e+04, 7.206241e+12
2.785023e+04, 6.621835e+12
2.840724e+04, 6.172026e+12
2.897538e+04, 5.815348e+12
2.955489e+04, 5.363364e+12
3.014599e+04, 5.045910e+12
3.074891e+04, 4.756570e+12
3.136389e+04, 4.478768e+12
3.199117e+04, 4.255281e+12
3.263099e+04, 4.042043e+12
3.328361e+04, 3.866349e+12
3.394928e+04, 3.673250e+12
3.462827e+04, 3.496636e+12
3.532083e+04, 3.304359e+12
3.602725e+04, 3.104682e+12
3.674779e+04, 2.929415e+12
3.748275e+04, 2.766681e+12
3.823240e+04, 2.600286e+12
3.899705e+04, 2.426466e+12
3.977699e+04, 2.269030e+12
4.057253e+04, 2.089101e+12
4.138398e+04, 1.939871e+12
4.221166e+04, 1.806165e+12
4.305590e+04, 1.643924e+12
4.391701e+04, 1.468181e+12
4.479535e+04, 1.342996e+12
4.569126e+04, 1.237050e+12
4.660509e+04, 1.161732e+12
4.753719e+04, 1.086484e+12
4.848793e+04, 1.015174e+12
4.945769e+04, 9.443899e+11
5.044684e+04, 8.742320e+11
5.145578e+04, 8.164646e+11
5.248490e+04, 7.588596e+11
5.353460e+04, 7.082037e+11
5.460529e+04, 6.598138e+11
5.569739e+04, 6.163844e+11
5.681134e+04, 5.750591e+11
5.794757e+04, 5.403061e+11
5.910652e+04, 5.057720e+11
6.028865e+04, 4.741194e+11
6.149442e+04, 4.439139e+11
6.272431e+04, 4.140920e+11
6.397880e+04, 3.814451e+11
6.525837e+04, 3.407722e+11
6.656354e+04, 3.089813e+11
6.789481e+04, 2.866064e+11
6.925271e+04, 2.663469e+11
7.063776e+04, 2.477703e+11
7.205052e+04, 2.314013e+11
7.349153e+04, 2.153634e+11
7.496136e+04, 2.006009e+11
7.646058e+04, 1.837090e+11
7.798980e+04, 1.691370e+11
7.954959e+04, 1.562744e+11
8.114058e+04, 1.451868e+11
8.276340e+04, 1.347776e+11
8.441866e+04, 1.252656e+11
8.610704e+04, 1.166988e+11
8.782918e+04, 1.082086e+11
8.958576e+04, 1.012202e+11
9.137748e+04, 9.420212e+10
9.320503e+04, 8.741752e+10
9.506913e+04, 8.141059e+10
9.697051e+04, 7.549465e+10
9.890992e+04, 6.997042e+10
1.008881e+05, 6.504141e+10
1.029059e+05, 6.022853e+10
1.049640e+05, 5.559189e+10
1.070633e+05, 5.144677e+10
1.092045e+05, 4.761456e+10
1.113886e+05, 4.393906e+10
1.136164e+05, 4.070270e+10
