wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 9.219700e-04
1.020000e+03, 1.022222e-03
1.040400e+03, 8.937796e-03
1.061208e+03, 2.525982e-02
1.082432e+03, 9.556451e-02
1.104081e+03, 2.629647e-01
1.126162e+03, 8.112349e-01
1.148686e+03, 1.259922e+00
1.171659e+03, 1.349550e+00
1.195093e+03, 5.435868e+00
1.218994e+03, 6.740438e+00
1.243374e+03, 8.762942e+01
1.268242e+03, 1.624166e+02
1.293607e+03, 4.519872e+02
1.319479e+03, 7.259128e+02
1.345868e+03, 1.457527e+03
1.372786e+03, 2.490465e+03
1.400241e+03, 9.287827e+03
1.428246e+03, 2.090015e+04
1.456811e+03, 3.979897e+04
1.485947e+03, 7.244523e+04
1.515666e+03, 1.302507e+05
1.545980e+03, 1.435409e+05
1.576899e+03, 3.204853e+05
1.608437e+03, 3.080070e+05
1.640606e+03, 6.243068e+05
1.673418e+03, 1.116915e+06
1.706886e+03, 2.048534e+06
1.741024e+03, 3.724572e+06
1.775845e+03, 6.183353e+06
1.811362e+03, 1.044110e+07
1.847589e+03, 1.461222e+07
1.884541e+03, 2.496048e+07
1.922231e+03, 4.426038e+07
1.960676e+03, 6.950855e+07
1.999890e+03, 1.086876e+08
2.039887e+03, 1.577335e+08
2.080685e+03, 3.377710e+08
2.122299e+03, 5.320371e+08
2.164745e+03, 6.521252e+08
2.208040e+03, 1.016115e+09
2.252200e+03, 1.672891e+09
2.297244e+03, 2.611640e+09
2.343189e+03, 3.633235e+09
2.390053e+03, 6.178972e+09
2.437854e+03, 1.061339e+10
2.486611e+03, 1.248762e+10
2.536344e+03, 2.498289e+10
2.587070e+03, 3.165123e+10
2.638812e+03, 7.009960e+10
2.691588e+03, 8.749168e+10
2.745420e+03, 1.121161e+11
2.800328e+03, 1.880686e+11
2.856335e+03, 1.896570e+11
2.913461e+03, 5.001672e+11
2.971731e+03, 4.430725e+11
3.031165e+03, 5.588167e+11
3.091789e+03, 1.340859e+12
3.153624e+03, 2.679200e+12
3.216697e+03, 2.707374e+12
3.281031e+03, 4.928318e+12
3.346651e+03, 4.292144e+12
3.413584e+03, 3.985954e+12
3.481856e+03, 4.879699e+12
3.551493e+03, 5.885929e+12
3.622523e+03, 5.854707e+12
3.694974e+03, 8.410296e+12
3.768873e+03, 8.088620e+12
3.844251e+03, 7.398140e+12
3.921136e+03, 8.720381e+12
3.999558e+03, 1.641900e+13
4.079549e+03, 2.089678e+13
4.161140e+03, 2.134419e+13
4.244363e+03, 1.547993e+13
4.329250e+03, 2.688279e+13
4.415835e+03, 2.895028e+13
4.504152e+03, 3.726458e+13
4.594235e+03, 4.108430e+13
4.686120e+03, 4.053372e+13
4.779842e+03, 3.606566e+13
4.875439e+03, 4.424540e+13
4.972948e+03, 3.821456e+13
5.072407e+03, 3.474623e+13
5.173855e+03, 3.532394e+13
5.277332e+03, 5.516314e+13
5.382879e+03, 5.996105e+13
5.490536e+03, 5.931312e+13
5.600347e+03, 6.321987e+13
5.712354e+03, 7.148525e+13
5.826601e+03, 7.276866e+13
5.943133e+03, 6.304500e+13
6.061996e+03, 7.905706e+13
6.183236e+03, 6.906105e+13
6.306900e+03, 7.148430e+13
6.433038e+03, 7.385989e+13
6.561699e+03, 8.586701e+13
6.692933e+03, 7.651186e+13
6.826792e+03, 6.587923e+13
6.963328e+03, 7.759922e+13
7.102594e+03, 7.894126e+13
7.244646e+03, 8.594517e+13
7.389539e+03, 9.745298e+13
7.537330e+03, 1.004682e+14
7.688076e+03, 9.343093e+13
7.841838e+03, 9.503004e+13
7.998675e+03, 9.847260e+13
8.158648e+03, 9.852067e+13
8.321821e+03, 9.747351e+13
8.488258e+03, 9.299462e+13
8.658023e+03, 9.420884e+13
8.831183e+03, 9.400374e+13
9.007807e+03, 9.258995e+13
9.187963e+03, 9.302639e+13
9.371722e+03, 9.113257e+13
9.559157e+03, 9.005293e+13
9.750340e+03, 8.775206e+13
9.945347e+03, 8.484230e+13
1.014425e+04, 8.364534e+13
1.034714e+04, 8.132826e+13
1.055408e+04, 8.091032e+13
1.076516e+04, 7.894183e+13
1.098047e+04, 7.792118e+13
1.120008e+04, 7.614512e+13
1.142408e+04, 7.412616e+13
1.165256e+04, 7.276211e+13
1.188561e+04, 7.015122e+13
1.212332e+04, 6.926921e+13
1.236579e+04, 6.750618e+13
1.261310e+04, 6.556223e+13
1.286537e+04, 6.347852e+13
1.312267e+04, 6.167345e+13
1.338513e+04, 5.987994e+13
1.365283e+04, 5.842182e+13
1.392589e+04, 5.600047e+13
1.420440e+04, 5.483750e+13
1.448849e+04, 5.315101e+13
1.477826e+04, 5.128682e+13
1.507383e+04, 5.032416e+13
1.537530e+04, 4.956554e+13
1.568281e+04, 4.811020e+13
1.599647e+04, 4.766960e+13
1.631640e+04, 4.592561e+13
1.664272e+04, 4.439698e+13
1.697558e+04, 4.220057e+13
1.731509e+04, 3.978741e+13
1.766139e+04, 3.704962e+13
1.801462e+04, 3.458756e+13
1.837491e+04, 3.204508e+13
1.874241e+04, 3.023025e+13
1.911726e+04, 2.871339e+13
1.949960e+04, 2.599079e+13
1.988959e+04, 2.423704e+13
2.028739e+04, 2.407092e+13
2.069313e+04, 2.262719e+13
2.110700e+04, 2.132801e+13
2.152914e+04, 2.029839e+13
2.195972e+04, 1.902655e+13
2.239891e+04, 1.805057e+13
2.284689e+04, 1.663409e+13
2.330383e+04, 1.525549e+13
2.376991e+04, 1.410931e+13
2.424531e+04, 1.299429e+13
2.473021e+04, 1.151241e+13
2.522482e+04, 1.011676e+13
2.572931e+04, 9.989360e+12
2.624390e+04, 9.586660e+12
2.676878e+04, 8.953560e+12
2.730415e+04, 8.493480e+12
2.785023e+04, 7.812327e+12
2.840724e+04, 7.312219e+12
2.897538e+04, 6.876898e+12
2.955489e+04, 6.321463e+12
3.014599e+04, 5.948972e+12
3.074891e+04, 5.590538e+12
3.136389e+04, 5.230710e+12
3.199117e+04, 4.948327e+12
3.263099e+04, 4.662323e+12
3.328361e+04, 4.419555e+12
3.394928e+04, 4.165915e+12
3.462827e+04, 3.934427e+12
3.532083e+04, 3.689151e+12
3.602725e+04, 3.445717e+12
3.674779e+04, 3.231746e+12
3.748275e+04, 3.036213e+12
3.823240e+04, 2.840775e+12
3.899705e+04, 2.637005e+12
3.977699e+04, 2.469657e+12
4.057253e+04, 2.281116e+12
4.138398e+04, 2.119516e+12
4.221166e+04, 1.971950e+12
4.305590e+04, 1.792401e+12
4.391701e+04, 1.594846e+12
4.479535e+04, 1.457569e+12
4.569126e+04, 1.340764e+12
4.660509e+04, 1.261479e+12
4.753719e+04, 1.181315e+12
4.848793e+04, 1.105096e+12
4.945769e+04, 1.027878e+12
5.044684e+04, 9.550149e+11
5.145578e+04, 8.918509e+11
5.248490e+04, 8.302926e+11
5.353460e+04, 7.751689e+11
5.460529e+04, 7.230323e+11
5.569739e+04, 6.760895e+11
5.681134e+04, 6.307582e+11
5.794757e+04, 5.916328e+11
5.910652e+04, 5.521757e+11
6.028865e+04, 5.166352e+11
6.149442e+04, 4.825021e+11
6.272431e+04, 4.489137e+11
6.397880e+04, 4.152011e+11
6.525837e+04, 3.753383e+11
6.656354e+04, 3.427268e+11
6.789481e+04, 3.176009e+11
6.925271e+04, 2.949015e+11
7.063776e+04, 2.739346e+11
7.205052e+04, 2.550452e+11
7.349153e+04, 2.371061e+11
7.496136e+04, 2.202052e+11
7.646058e+04, 2.016188e+11
7.798980e+04, 1.850645e+11
7.954959e+04, 1.708483e+11
8.114058e+04, 1.585917e+11
8.276340e+04, 1.473001e+11
8.441866e+04, 1.367803e+11
8.610704e+04, 1.272713e+11
8.782918e+04, 1.179424e+11
8.958576e+04, 1.100197e+11
9.137748e+04, 1.022036e+11
9.320503e+04, 9.468356e+10
9.506913e+04, 8.806384e+10
9.697051e+04, 8.163182e+10
9.890992e+04, 7.560916e+10
1.008881e+05, 7.028170e+10
1.029059e+05, 6.507625e+10
1.049640e+05, 6.007637e+10
1.070633e+05, 5.559815e+10
1.092045e+05, 5.144484e+10
1.113886e+05, 4.745849e+10
1.136164e+05, 4.394097e+10
1.158887e+05, 4.058070e+10
