wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 1.576577e-24
1.020000e+03, 3.372392e-25
1.040400e+03, 1.109916e-22
1.061208e+03, 3.855262e-22
1.082432e+03, 7.759317e-19
1.104081e+03, 1.309422e-15
1.126162e+03, 6.918122e-13
1.148686e+03, 3.646481e-12
1.171659e+03, 1.325320e-11
1.195093e+03, 1.056658e-10
1.218994e+03, 6.592481e-11
1.243374e+03, 6.216896e-11
1.268242e+03, 5.034106e-12
1.293607e+03, 1.718912e-10
1.319479e+03, 4.995552e-11
1.345868e+03, 9.704089e-11
1.372786e+03, 1.494876e-10
1.400241e+03, 8.417924e-08
1.428246e+03, 1.208368e-06
1.456811e+03, 3.583459e-06
1.485947e+03, 8.714747e-06
1.515666e+03, 6.498980e-06
1.545980e+03, 2.413331e-07
1.576899e+03, 1.785788e-05
1.608437e+03, 1.477693e-05
1.640606e+03, 2.225347e-03
1.673418e+03, 3.960793e-03
1.706886e+03, 1.701966e-02
1.741024e+03, 3.333767e-02
1.775845e+03, 1.433378e-01
1.811362e+03, 3.138914e-01
1.847589e+03, 3.188483e-01
1.884541e+03, 9.944145e-01
1.922231e+03, 5.891479e+00
1.960676e+03, 1.224332e+01
1.999890e+03, 2.738286e+01
2.039887e+03, 5.263942e+01
2.080685e+03, 2.513322e+02
2.122299e+03, 7.663237e+02
2.164745e+03, 1.080745e+03
2.208040e+03, 3.099169e+03
2.252200e+03, 9.488099e+03
2.297244e+03, 1.743252e+04
2.343189e+03, 5.666895e+04
2.390053e+03, 2.296454e+05
2.437854e+03, 7.989065e+05
2.486611e+03, 3.366484e+05
2.536344e+03, 2.728835e+06
2.587070e+03, 7.192508e+06
2.638812e+03, 5.221693e+07
2.691588e+03, 5.139499e+07
2.745420e+03, 4.952992e+07
2.800328e+03, 9.704981e+07
2.856335e+03, 3.965429e+07
2.913461e+03, 4.809963e+08
2.971731e+03, 2.009990e+08
3.031165e+03, 2.694058e+08
3.091789e+03, 5.184894e+09
3.153624e+03, 3.056765e+10
3.216697e+03, 2.219330e+10
3.281031e+03, 7.063047e+10
3.346651e+03, 6.853693e+10
3.413584e+03, 2.654370e+10
3.481856e+03, 1.584876e+10
3.551493e+03, 5.855365e+10
3.622523e+03, 4.316277e+10
3.694974e+03, 7.124131e+10
3.768873e+03, 8.433682e+10
3.844251e+03, 5.502213e+10
3.921136e+03, 5.970267e+10
3.999558e+03, 3.204301e+11
4.079549e+03, 5.021039e+11
4.161140e+03, 3.131716e+11
4.244363e+03, 6.411041e+10
4.329250e+03, 3.693933e+11
4.415835e+03, 4.121380e+11
4.504152e+03, 4.520772e+11
4.594235e+03, 3.928578e+11
4.686120e+03, 3.710402e+11
4.779842e+03, 2.822909e+11
4.875439e+03, 5.095585e+11
4.972948e+03, 5.422369e+11
5.072407e+03, 5.605663e+11
5.173855e+03, 6.722531e+11
5.277332e+03, 9.997401e+11
5.382879e+03, 1.408169e+12
5.490536e+03, 7.987871e+11
5.600347e+03, 8.175749e+11
5.712354e+03, 1.007998e+12
5.826601e+03, 9.004985e+11
5.943133e+03, 4.198626e+11
6.061996e+03, 1.542249e+12
6.183236e+03, 9.967606e+11
6.306900e+03, 9.096077e+11
6.433038e+03, 1.592067e+12
6.561699e+03, 2.457120e+12
6.692933e+03, 1.075110e+12
6.826792e+03, 1.087800e+12
6.963328e+03, 3.274041e+12
7.102594e+03, 2.145665e+12
7.244646e+03, 3.004230e+12
7.389539e+03, 1.029369e+13
7.537330e+03, 1.229057e+13
7.688076e+03, 4.050828e+12
7.841838e+03, 6.778342e+12
7.998675e+03, 1.262425e+13
8.158648e+03, 1.755776e+13
8.321821e+03, 1.563600e+13
8.488258e+03, 9.071385e+12
8.658023e+03, 1.282408e+13
8.831183e+03, 1.609964e+13
9.007807e+03, 1.658523e+13
9.187963e+03, 2.181706e+13
9.371722e+03, 1.834985e+13
9.559157e+03, 2.329228e+13
9.750340e+03, 2.395342e+13
9.945347e+03, 1.520561e+13
1.014425e+04, 1.585067e+13
1.034714e+04, 1.630913e+13
1.055408e+04, 2.047364e+13
1.076516e+04, 2.503543e+13
1.098047e+04, 2.626517e+13
1.120008e+04, 2.581626e+13
1.142408e+04, 2.524994e+13
1.165256e+04, 2.597091e+13
1.188561e+04, 2.473749e+13
1.212332e+04, 2.488539e+13
1.236579e+04, 2.458993e+13
1.261310e+04, 2.421603e+13
1.286537e+04, 2.461284e+13
1.312267e+04, 2.478382e+13
1.338513e+04, 1.943750e+13
1.365283e+04, 1.772464e+13
1.392589e+04, 1.725699e+13
1.420440e+04, 1.528513e+13
1.448849e+04, 1.542796e+13
1.477826e+04, 1.525575e+13
1.507383e+04, 1.565404e+13
1.537530e+04, 1.620602e+13
1.568281e+04, 1.679600e+13
1.599647e+04, 1.750089e+13
1.631640e+04, 1.789135e+13
1.664272e+04, 1.811934e+13
1.697558e+04, 1.721073e+13
1.731509e+04, 1.451375e+13
1.766139e+04, 1.202188e+13
1.801462e+04, 1.019419e+13
1.837491e+04, 9.273744e+12
1.874241e+04, 8.406064e+12
1.911726e+04, 8.783826e+12
1.949960e+04, 8.040182e+12
1.988959e+04, 7.482706e+12
2.028739e+04, 7.533388e+12
2.069313e+04, 7.645277e+12
2.110700e+04, 7.923786e+12
2.152914e+04, 8.182982e+12
2.195972e+04, 8.128087e+12
2.239891e+04, 8.112177e+12
2.284689e+04, 7.546183e+12
2.330383e+04, 6.529161e+12
2.376991e+04, 5.790484e+12
2.424531e+04, 4.767275e+12
2.473021e+04, 3.945305e+12
2.522482e+04, 3.374074e+12
2.572931e+04, 3.166120e+12
2.624390e+04, 3.193882e+12
2.676878e+04, 3.087200e+12
2.730415e+04, 2.686036e+12
2.785023e+04, 2.517875e+12
2.840724e+04, 2.345008e+12
2.897538e+04, 2.238172e+12
2.955489e+04, 2.124499e+12
3.014599e+04, 2.051498e+12
3.074891e+04, 2.006538e+12
3.136389e+04, 1.970927e+12
3.199117e+04, 1.941421e+12
3.263099e+04, 1.938891e+12
3.328361e+04, 1.925207e+12
3.394928e+04, 1.888956e+12
3.462827e+04, 1.858109e+12
3.532083e+04, 1.814585e+12
3.602725e+04, 1.756428e+12
3.674779e+04, 1.702721e+12
3.748275e+04, 1.661048e+12
3.823240e+04, 1.600049e+12
3.899705e+04, 1.521334e+12
3.977699e+04, 1.407940e+12
4.057253e+04, 1.244874e+12
4.138398e+04, 1.127901e+12
4.221166e+04, 1.037268e+12
4.305590e+04, 9.338138e+11
4.391701e+04, 8.150385e+11
4.479535e+04, 7.349886e+11
4.569126e+04, 6.725059e+11
4.660509e+04, 6.321593e+11
4.753719e+04, 5.899453e+11
4.848793e+04, 5.535374e+11
4.945769e+04, 5.144984e+11
5.044684e+04, 4.677913e+11
5.145578e+04, 4.385399e+11
5.248490e+04, 4.071093e+11
5.353460e+04, 3.830917e+11
5.460529e+04, 3.549627e+11
5.569739e+04, 3.302562e+11
5.681134e+04, 3.099683e+11
5.794757e+04, 2.948000e+11
5.910652e+04, 2.804683e+11
6.028865e+04, 2.691430e+11
6.149442e+04, 2.580187e+11
6.272431e+04, 2.463741e+11
6.397880e+04, 2.223801e+11
6.525837e+04, 1.847269e+11
6.656354e+04, 1.622219e+11
6.789481e+04, 1.529632e+11
6.925271e+04, 1.451331e+11
7.063776e+04, 1.351360e+11
7.205052e+04, 1.294308e+11
7.349153e+04, 1.208449e+11
7.496136e+04, 1.142540e+11
7.646058e+04, 1.030464e+11
7.798980e+04, 9.471779e+10
7.954959e+04, 8.688711e+10
8.114058e+04, 8.188980e+10
8.276340e+04, 7.648956e+10
8.441866e+04, 7.212038e+10
8.610704e+04, 6.824046e+10
8.782918e+04, 6.384919e+10
8.958576e+04, 6.114961e+10
9.137748e+04, 5.804592e+10
9.320503e+04, 5.465624e+10
9.506913e+04, 5.190069e+10
9.697051e+04, 4.864622e+10
9.890992e+04, 4.554599e+10
1.008881e+05, 4.275731e+10
1.029059e+05, 3.982055e+10
1.049640e+05, 3.663596e+10
1.070633e+05, 3.402803e+10
1.092045e+05, 3.144785e+10
1.113886e+05, 2.891784e+10
1.136164e+05, 2.693631e+10
1.158887e+05, 2.465242e+10
1.182065e+05, 2.271744e+10
1.205706e+05, 2.129152e+10
1.229821e+05, 1.977597e+10
