wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 1.694142e-03
1.020000e+03, 1.822460e-03
1.040400e+03, 1.639069e-02
1.061208e+03, 4.602389e-02
1.082432e+03, 1.688925e-01
1.104081e+03, 4.553529e-01
1.126162e+03, 1.368199e+00
1.148686e+03, 2.036240e+00
1.171659e+03, 2.113184e+00
1.195093e+03, 8.422341e+00
1.218994e+03, 1.021623e+01
1.243374e+03, 1.320707e+02
1.268242e+03, 2.428519e+02
1.293607e+03, 6.590251e+02
1.319479e+03, 1.054294e+03
1.345868e+03, 2.093284e+03
1.372786e+03, 3.554494e+03
1.400241e+03, 1.269068e+04
1.428246e+03, 2.787122e+04
1.456811e+03, 5.261317e+04
1.485947e+03, 9.517951e+04
1.515666e+03, 1.854298e+05
1.545980e+03, 2.173227e+05
1.576899e+03, 4.970680e+05
1.608437e+03, 4.617309e+05
1.640606e+03, 9.557953e+05
1.673418e+03, 1.708354e+06
1.706886e+03, 3.148031e+06
1.741024e+03, 5.715976e+06
1.775845e+03, 9.412152e+06
1.811362e+03, 1.581703e+07
1.847589e+03, 2.185122e+07
1.884541e+03, 3.727223e+07
1.922231e+03, 6.560092e+07
1.960676e+03, 1.023373e+08
1.999890e+03, 1.589051e+08
2.039887e+03, 2.285254e+08
2.080685e+03, 4.940401e+08
2.122299e+03, 7.760932e+08
2.164745e+03, 9.411141e+08
2.208040e+03, 1.466925e+09
2.252200e+03, 2.422386e+09
2.297244e+03, 3.759611e+09
2.343189e+03, 5.181228e+09
2.390053e+03, 8.806776e+09
2.437854e+03, 1.507531e+10
2.486611e+03, 1.756370e+10
2.536344e+03, 3.486327e+10
2.587070e+03, 4.410875e+10
2.638812e+03, 9.672719e+10
2.691588e+03, 1.201718e+11
2.745420e+03, 1.524869e+11
2.800328e+03, 2.522851e+11
2.856335e+03, 2.563052e+11
2.913461e+03, 6.660733e+11
2.971731e+03, 5.886845e+11
3.031165e+03, 7.387877e+11
3.091789e+03, 1.770300e+12
3.153624e+03, 3.532604e+12
3.216697e+03, 3.504476e+12
3.281031e+03, 6.403826e+12
3.346651e+03, 5.452441e+12
3.413584e+03, 5.006361e+12
3.481856e+03, 6.222617e+12
3.551493e+03, 7.367506e+12
3.622523e+03, 7.341165e+12
3.694974e+03, 1.055959e+13
3.768873e+03, 1.005104e+13
3.844251e+03, 9.059660e+12
3.921136e+03, 1.080829e+13
3.999558e+03, 2.045461e+13
4.079549e+03, 2.567997e+13
4.161140e+03, 2.614710e+13
4.244363e+03, 1.972649e+13
4.329250e+03, 3.346546e+13
4.415835e+03, 3.599143e+13
4.504152e+03, 4.678814e+13
4.594235e+03, 5.217829e+13
4.686120e+03, 5.168397e+13
4.779842e+03, 4.644768e+13
4.875439e+03, 5.588356e+13
4.972948e+03, 4.811921e+13
5.072407e+03, 4.298139e+13
5.173855e+03, 4.338805e+13
5.277332e+03, 6.772958e+13
5.382879e+03, 7.262084e+13
5.490536e+03, 7.368890e+13
5.600347e+03, 7.830159e+13
5.712354e+03, 8.754194e+13
5.826601e+03, 8.932524e+13
5.943133e+03, 7.931625e+13
6.061996e+03, 9.549252e+13
6.183236e+03, 8.520490e+13
6.306900e+03, 8.812484e+13
6.433038e+03, 8.953186e+13
6.561699e+03, 1.018406e+14
6.692933e+03, 9.363315e+13
6.826792e+03, 8.174934e+13
6.963328e+03, 9.255433e+13
7.102594e+03, 9.499132e+13
7.244646e+03, 1.012815e+14
7.389539e+03, 1.103979e+14
7.537330e+03, 1.130192e+14
7.688076e+03, 1.070067e+14
7.841838e+03, 1.082179e+14
7.998675e+03, 1.103731e+14
8.158648e+03, 1.096138e+14
8.321821e+03, 1.083614e+14
8.488258e+03, 1.038895e+14
8.658023e+03, 1.044925e+14
8.831183e+03, 1.039477e+14
9.007807e+03, 1.023161e+14
9.187963e+03, 1.021594e+14
9.371722e+03, 1.000781e+14
9.559157e+03, 9.857736e+13
9.750340e+03, 9.589316e+13
9.945347e+03, 9.277564e+13
1.014425e+04, 9.126510e+13
1.034714e+04, 8.865932e+13
1.055408e+04, 8.792575e+13
1.076516e+04, 8.559713e+13
1.098047e+04, 8.434787e+13
1.120008e+04, 8.236372e+13
1.142408e+04, 8.011151e+13
1.165256e+04, 7.853649e+13
1.188561e+04, 7.563086e+13
1.212332e+04, 7.465750e+13
1.236579e+04, 7.274942e+13
1.261310e+04, 7.063682e+13
1.286537e+04, 6.835562e+13
1.312267e+04, 6.637590e+13
1.338513e+04, 6.464644e+13
1.365283e+04, 6.309830e+13
1.392589e+04, 6.060876e+13
1.420440e+04, 5.940339e+13
1.448849e+04, 5.761215e+13
1.477826e+04, 5.563674e+13
1.507383e+04, 5.451007e+13
1.537530e+04, 5.391096e+13
1.568281e+04, 5.209129e+13
1.599647e+04, 5.159650e+13
1.631640e+04, 4.976541e+13
1.664272e+04, 4.797199e+13
1.697558e+04, 4.556112e+13
1.731509e+04, 4.304874e+13
1.766139e+04, 4.016548e+13
1.801462e+04, 3.755443e+13
1.837491e+04, 3.480474e+13
1.874241e+04, 3.286631e+13
1.911726e+04, 3.111868e+13
1.949960e+04, 2.819133e+13
1.988959e+04, 2.627734e+13
2.028739e+04, 2.602690e+13
2.069313e+04, 2.440177e+13
2.110700e+04, 2.291362e+13
2.152914e+04, 2.173326e+13
2.195972e+04, 2.029782e+13
2.239891e+04, 1.918690e+13
2.284689e+04, 1.764022e+13
2.330383e+04, 1.617877e+13
2.376991e+04, 1.496381e+13
2.424531e+04, 1.386478e+13
2.473021e+04, 1.236754e+13
2.522482e+04, 1.094518e+13
2.572931e+04, 1.078854e+13
2.624390e+04, 1.030873e+13
2.676878e+04, 9.600284e+12
2.730415e+04, 9.139434e+12
2.785023e+04, 8.416177e+12
2.840724e+04, 7.888216e+12
2.897538e+04, 7.408830e+12
2.955489e+04, 6.809088e+12
3.014599e+04, 6.405644e+12
3.074891e+04, 6.010279e+12
3.136389e+04, 5.608105e+12
3.199117e+04, 5.291997e+12
3.263099e+04, 4.967489e+12
3.328361e+04, 4.688151e+12
3.394928e+04, 4.402933e+12
3.462827e+04, 4.145156e+12
3.532083e+04, 3.875051e+12
3.602725e+04, 3.611304e+12
3.674779e+04, 3.378430e+12
3.748275e+04, 3.167644e+12
3.823240e+04, 2.958952e+12
3.899705e+04, 2.739482e+12
3.977699e+04, 2.567491e+12
4.057253e+04, 2.373987e+12
4.138398e+04, 2.205793e+12
4.221166e+04, 2.050845e+12
4.305590e+04, 1.862665e+12
4.391701e+04, 1.654290e+12
4.479535e+04, 1.511154e+12
4.569126e+04, 1.388836e+12
4.660509e+04, 1.307472e+12
4.753719e+04, 1.224925e+12
4.848793e+04, 1.146531e+12
4.945769e+04, 1.066199e+12
5.044684e+04, 9.919067e+11
5.145578e+04, 9.261236e+11
5.248490e+04, 8.626993e+11
5.353460e+04, 8.055723e+11
5.460529e+04, 7.516408e+11
5.569739e+04, 7.030049e+11
5.681134e+04, 6.559338e+11
5.794757e+04, 6.147429e+11
5.910652e+04, 5.730437e+11
6.028865e+04, 5.357022e+11
6.149442e+04, 4.997687e+11
6.272431e+04, 4.644614e+11
6.397880e+04, 4.303492e+11
6.525837e+04, 3.912114e+11
6.656354e+04, 3.584495e+11
6.789481e+04, 3.320532e+11
6.925271e+04, 3.082098e+11
7.063776e+04, 2.860811e+11
7.205052e+04, 2.659976e+11
7.349153e+04, 2.471206e+11
7.496136e+04, 2.292040e+11
7.646058e+04, 2.099059e+11
7.798980e+04, 1.924361e+11
7.954959e+04, 1.775888e+11
8.114058e+04, 1.647980e+11
8.276340e+04, 1.530991e+11
8.441866e+04, 1.421064e+11
8.610704e+04, 1.321398e+11
8.782918e+04, 1.224311e+11
8.958576e+04, 1.140463e+11
9.137748e+04, 1.058603e+11
9.320503e+04, 9.797588e+10
9.506913e+04, 9.110922e+10
9.697051e+04, 8.443932e+10
9.890992e+04, 7.820574e+10
1.008881e+05, 7.267920e+10
1.029059e+05, 6.729000e+10
1.049640e+05, 6.212643e+10
1.070633e+05, 5.750175e+10
1.092045e+05, 5.319806e+10
1.113886e+05, 4.907181e+10
1.136164e+05, 4.542220e+10
1.158887e+05, 4.195503e+10
1.182065e+05, 3.878503e+10
1.205706e+05, 3.601770e+10
1.229821e+05, 3.330717e+10
1.254417e+05, 3.064414e+10
1.279505e+05, 2.862743e+10
1.305095e+05, 2.638768e+10
1.331197e+05, 2.446354e+10
1.357821e+05, 2.258088e+10
1.384978e+05, 2.104738e+10
1.412677e+05, 1.932388e+10
1.440931e+05, 1.802558e+10
1.469749e+05, 1.660287e+10
1.499144e+05, 1.542393e+10
