wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 7.075987e-33
1.020000e+03, 3.818480e-33
1.040400e+03, 2.630346e-30
1.061208e+03, 1.038321e-29
1.082432e+03, 2.750176e-26
1.104081e+03, 4.758872e-23
1.126162e+03, 2.488988e-17
1.148686e+03, 6.730287e-16
1.171659e+03, 3.757388e-14
1.195093e+03, 1.581983e-13
1.218994e+03, 1.230367e-13
1.243374e+03, 3.476881e-13
1.268242e+03, 6.167371e-13
1.293607e+03, 1.073507e-11
1.319479e+03, 2.332348e-11
1.345868e+03, 8.114508e-11
1.372786e+03, 1.675323e-10
1.400241e+03, 2.281602e-09
1.428246e+03, 8.733579e-09
1.456811e+03, 1.815042e-08
1.485947e+03, 3.678958e-08
1.515666e+03, 5.004955e-08
1.545980e+03, 4.250836e-08
1.576899e+03, 7.314315e-08
1.608437e+03, 8.733474e-08
1.640606e+03, 1.039636e-06
1.673418e+03, 4.300577e-06
1.706886e+03, 2.397969e-05
1.741024e+03, 1.095871e-04
1.775845e+03, 4.367971e-04
1.811362e+03, 1.752437e-03
1.847589e+03, 5.241961e-03
1.884541e+03, 2.281075e-02
1.922231e+03, 1.349753e-01
1.960676e+03, 4.575708e-01
1.999890e+03, 1.516296e+00
2.039887e+03, 2.814383e+00
2.080685e+03, 2.744818e+00
2.122299e+03, 4.551137e+00
2.164745e+03, 4.760503e+00
2.208040e+03, 1.503260e+01
2.252200e+03, 5.838948e+01
2.297244e+03, 1.160936e+02
2.343189e+03, 7.947625e+02
2.390053e+03, 4.171350e+03
2.437854e+03, 1.727269e+04
2.486611e+03, 3.942023e+03
2.536344e+03, 8.117954e+04
2.587070e+03, 3.626139e+05
2.638812e+03, 3.849894e+06
2.691588e+03, 2.910217e+06
2.745420e+03, 2.080896e+06
2.800328e+03, 3.276614e+06
2.856335e+03, 5.530756e+05
2.913461e+03, 1.780733e+07
2.971731e+03, 5.909493e+06
3.031165e+03, 9.126568e+06
3.091789e+03, 6.451225e+08
3.153624e+03, 5.778193e+09
3.216697e+03, 3.457425e+09
3.281031e+03, 1.421483e+10
3.346651e+03, 1.504701e+10
3.413584e+03, 3.186365e+09
3.481856e+03, 1.271754e+09
3.551493e+03, 9.658556e+09
3.622523e+03, 6.904237e+09
3.694974e+03, 1.054806e+10
3.768873e+03, 1.416411e+10
3.844251e+03, 7.272039e+09
3.921136e+03, 8.670644e+09
3.999558e+03, 8.021893e+10
4.079549e+03, 1.271212e+11
4.161140e+03, 5.871706e+10
4.244363e+03, 7.571822e+09
4.329250e+03, 8.229520e+10
4.415835e+03, 1.055603e+11
4.504152e+03, 1.194227e+11
4.594235e+03, 1.037616e+11
4.686120e+03, 1.027694e+11
4.779842e+03, 8.539342e+10
4.875439e+03, 1.528972e+11
4.972948e+03, 1.896687e+11
5.072407e+03, 1.860911e+11
5.173855e+03, 2.430424e+11
5.277332e+03, 3.198343e+11
5.382879e+03, 4.960866e+11
5.490536e+03, 2.766879e+11
5.600347e+03, 2.947283e+11
5.712354e+03, 3.693637e+11
5.826601e+03, 2.807857e+11
5.943133e+03, 1.659137e+11
6.061996e+03, 6.056395e+11
6.183236e+03, 4.399313e+11
6.306900e+03, 4.141288e+11
6.433038e+03, 6.647284e+11
6.561699e+03, 1.024053e+12
6.692933e+03, 5.256891e+11
6.826792e+03, 5.491769e+11
6.963328e+03, 1.530406e+12
7.102594e+03, 1.057995e+12
7.244646e+03, 1.387388e+12
7.389539e+03, 5.154745e+12
7.537330e+03, 5.978614e+12
7.688076e+03, 1.408334e+12
7.841838e+03, 3.234263e+12
7.998675e+03, 6.862790e+12
8.158648e+03, 1.095940e+13
8.321821e+03, 9.180297e+12
8.488258e+03, 4.766581e+12
8.658023e+03, 6.783114e+12
8.831183e+03, 9.250853e+12
9.007807e+03, 1.003538e+13
9.187963e+03, 1.490263e+13
9.371722e+03, 1.149718e+13
9.559157e+03, 1.646298e+13
9.750340e+03, 1.725479e+13
9.945347e+03, 8.735166e+12
1.014425e+04, 8.479653e+12
1.034714e+04, 9.320367e+12
1.055408e+04, 1.356493e+13
