wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 4.635970e-40
1.020000e+03, 5.532220e-40
1.040400e+03, 9.313295e-37
1.061208e+03, 4.208814e-36
1.082432e+03, 3.619408e-32
1.104081e+03, 1.201745e-28
1.126162e+03, 1.145469e-21
1.148686e+03, 2.286848e-19
1.171659e+03, 4.934158e-16
1.195093e+03, 1.647643e-14
1.218994e+03, 2.181618e-14
1.243374e+03, 1.753042e-13
1.268242e+03, 5.186990e-13
1.293607e+03, 1.177066e-11
1.319479e+03, 4.044459e-11
1.345868e+03, 1.356425e-10
1.372786e+03, 2.492697e-10
1.400241e+03, 2.258208e-09
1.428246e+03, 6.514136e-09
1.456811e+03, 1.264149e-08
1.485947e+03, 2.672328e-08
1.515666e+03, 4.086484e-08
1.545980e+03, 3.761071e-08
1.576899e+03, 4.499084e-08
1.608437e+03, 4.085305e-08
1.640606e+03, 2.445608e-07
1.673418e+03, 9.398806e-07
1.706886e+03, 3.873905e-06
1.741024e+03, 1.514794e-05
1.775845e+03, 5.616297e-05
1.811362e+03, 1.896156e-04
1.847589e+03, 5.388036e-04
1.884541e+03, 2.429362e-03
1.922231e+03, 1.277579e-02
1.960676e+03, 4.153428e-02
1.999890e+03, 1.482447e-01
2.039887e+03, 2.962822e-01
2.080685e+03, 3.946901e-01
2.122299e+03, 5.032416e-01
2.164745e+03, 6.619660e-01
2.208040e+03, 1.325962e+00
2.252200e+03, 3.911358e+00
2.297244e+03, 1.054057e+01
2.343189e+03, 3.548850e+01
2.390053e+03, 1.006330e+02
2.437854e+03, 6.475439e+02
2.486611e+03, 5.583278e+02
2.536344e+03, 6.967376e+03
2.587070e+03, 1.619064e+04
2.638812e+03, 1.957021e+05
2.691588e+03, 1.400068e+05
2.745420e+03, 1.101304e+05
2.800328e+03, 8.488695e+04
2.856335e+03, 2.462214e+04
2.913461e+03, 5.281081e+05
2.971731e+03, 7.201194e+05
3.031165e+03, 1.354884e+06
3.091789e+03, 5.211237e+07
3.153624e+03, 5.251005e+08
3.216697e+03, 2.929463e+08
3.281031e+03, 1.287521e+09
3.346651e+03, 1.798174e+09
3.413584e+03, 2.693606e+08
3.481856e+03, 1.133131e+08
3.551493e+03, 9.293662e+08
3.622523e+03, 8.966724e+08
3.694974e+03, 1.114544e+09
3.768873e+03, 1.725512e+09
3.844251e+03, 9.628711e+08
3.921136e+03, 1.677428e+09
3.999558e+03, 1.455784e+10
4.079549e+03, 2.125113e+10
4.161140e+03, 1.013495e+10
4.244363e+03, 2.074337e+09
4.329250e+03, 1.977011e+10
4.415835e+03, 3.179882e+10
4.504152e+03, 4.308814e+10
4.594235e+03, 4.000289e+10
4.686120e+03, 4.652919e+10
4.779842e+03, 4.185731e+10
4.875439e+03, 7.198945e+10
4.972948e+03, 8.617373e+10
5.072407e+03, 8.180380e+10
5.173855e+03, 1.034360e+11
5.277332e+03, 1.545906e+11
5.382879e+03, 2.381310e+11
5.490536e+03, 1.560571e+11
5.600347e+03, 1.803576e+11
5.712354e+03, 1.988278e+11
5.826601e+03, 7.392182e+10
5.943133e+03, 5.647861e+10
6.061996e+03, 3.207751e+11
6.183236e+03, 2.994508e+11
6.306900e+03, 3.280842e+11
6.433038e+03, 4.639751e+11
6.561699e+03, 6.865732e+11
6.692933e+03, 4.413285e+11
6.826792e+03, 4.623965e+11
6.963328e+03, 9.631081e+11
7.102594e+03, 7.641904e+11
7.244646e+03, 9.838413e+11
7.389539e+03, 2.716059e+12
7.537330e+03, 2.588965e+12
7.688076e+03, 4.638252e+11
7.841838e+03, 1.901043e+12
7.998675e+03, 3.908542e+12
8.158648e+03, 6.589803e+12
8.321821e+03, 5.519737e+12
8.488258e+03, 3.132927e+12
8.658023e+03, 3.980932e+12
8.831183e+03, 5.246260e+12
9.007807e+03, 6.169829e+12
9.187963e+03, 9.980272e+12
9.371722e+03, 7.272836e+12
9.559157e+03, 1.120279e+13
9.750340e+03, 1.184661e+13
9.945347e+03, 5.186929e+12
1.014425e+04, 4.265660e+12
1.034714e+04, 5.193915e+12
1.055408e+04, 8.753279e+12
1.076516e+04, 1.446166e+13
1.098047e+04, 1.540961e+13
1.120008e+04, 1.460342e+13
1.142408e+04, 1.420092e+13
1.165256e+04, 1.450952e+13
1.188561e+04, 1.379344e+13
1.212332e+04, 1.389668e+13
1.236579e+04, 1.411727e+13
1.261310e+04, 1.432965e+13
1.286537e+04, 1.572928e+13
1.312267e+04, 1.638407e+13
1.338513e+04, 9.234222e+12
1.365283e+04, 7.135549e+12
1.392589e+04, 7.268621e+12
1.420440e+04, 5.872348e+12
1.448849e+04, 6.444214e+12
1.477826e+04, 6.963167e+12
1.507383e+04, 7.740114e+12
1.537530e+04, 8.862243e+12
1.568281e+04, 9.947214e+12
1.599647e+04, 1.101467e+13
1.631640e+04, 1.173284e+13
1.664272e+04, 1.208944e+13
1.697558e+04, 1.126922e+13
1.731509e+04, 8.311444e+12
1.766139e+04, 5.984412e+12
1.801462e+04, 4.507882e+12
1.837491e+04, 4.009493e+12
1.874241e+04, 3.539582e+12
1.911726e+04, 4.188699e+12
1.949960e+04, 3.631593e+12
1.988959e+04, 3.413463e+12
2.028739e+04, 3.729142e+12
2.069313e+04, 4.257664e+12
2.110700e+04, 4.808949e+12
2.152914e+04, 5.175909e+12
2.195972e+04, 5.163012e+12
2.239891e+04, 5.044095e+12
2.284689e+04, 4.482345e+12
2.330383e+04, 3.626562e+12
2.376991e+04, 3.118098e+12
2.424531e+04, 2.380301e+12
2.473021e+04, 1.789004e+12
2.522482e+04, 1.392059e+12
2.572931e+04, 1.283384e+12
2.624390e+04, 1.400551e+12
2.676878e+04, 1.303210e+12
2.730415e+04, 1.098650e+12
2.785023e+04, 1.077186e+12
2.840724e+04, 1.027853e+12
2.897538e+04, 1.009912e+12
2.955489e+04, 9.895679e+11
3.014599e+04, 1.011118e+12
3.074891e+04, 1.047825e+12
3.136389e+04, 1.088375e+12
3.199117e+04, 1.119215e+12
3.263099e+04, 1.184090e+12
3.328361e+04, 1.200485e+12
3.394928e+04, 1.205715e+12
3.462827e+04, 1.218027e+12
3.532083e+04, 1.227052e+12
3.602725e+04, 1.209867e+12
3.674779e+04, 1.206306e+12
3.748275e+04, 1.218206e+12
3.823240e+04, 1.192523e+12
3.899705e+04, 1.146791e+12
3.977699e+04, 1.056349e+12
4.057253e+04, 8.843451e+11
4.138398e+04, 7.666899e+11
4.221166e+04, 6.824699e+11
4.305590e+04, 5.949040e+11
4.391701e+04, 5.006706e+11
4.479535e+04, 4.412282e+11
4.569126e+04, 3.962660e+11
4.660509e+04, 3.717898e+11
4.753719e+04, 3.485581e+11
4.848793e+04, 3.311776e+11
4.945769e+04, 3.107375e+11
5.044684e+04, 2.795382e+11
5.145578e+04, 2.633100e+11
5.248490e+04, 2.464927e+11
5.353460e+04, 2.355402e+11
5.460529e+04, 2.155577e+11
5.569739e+04, 1.998292e+11
5.681134e+04, 1.889798e+11
5.794757e+04, 1.807712e+11
5.910652e+04, 1.744329e+11
6.028865e+04, 1.730618e+11
6.149442e+04, 1.715248e+11
6.272431e+04, 1.685572e+11
6.397880e+04, 1.484881e+11
6.525837e+04, 1.148879e+11
6.656354e+04, 9.831321e+10
6.789481e+04, 9.419209e+10
6.925271e+04, 9.222276e+10
7.063776e+04, 8.548571e+10
7.205052e+04, 8.478678e+10
7.349153e+04, 7.916768e+10
7.496136e+04, 7.611431e+10
7.646058e+04, 6.751255e+10
7.798980e+04, 6.259237e+10
7.954959e+04, 5.727734e+10
8.114058e+04, 5.501151e+10
8.276340e+04, 5.193360e+10
8.441866e+04, 4.993143e+10
8.610704e+04, 4.813206e+10
8.782918e+04, 4.546061e+10
8.958576e+04, 4.433478e+10
9.137748e+04, 4.279535e+10
9.320503e+04, 4.114847e+10
9.506913e+04, 3.977476e+10
