wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 6.056410e-07
1.020000e+03, 1.191440e-06
1.040400e+03, 5.559240e-06
1.061208e+03, 1.606155e-05
1.082432e+03, 5.767997e-05
1.104081e+03, 1.701951e-04
1.126162e+03, 5.949726e-04
1.148686e+03, 1.536906e-03
1.171659e+03, 3.227169e-03
1.195093e+03, 1.168577e-02
1.218994e+03, 2.158121e-02
1.243374e+03, 1.453003e-01
1.268242e+03, 2.814434e-01
1.293607e+03, 8.638887e-01
1.319479e+03, 1.585398e+00
1.345868e+03, 3.605812e+00
1.372786e+03, 7.205242e+00
1.400241e+03, 2.897808e+01
1.428246e+03, 7.839729e+01
1.456811e+03, 1.661398e+02
1.485947e+03, 3.328548e+02
1.515666e+03, 5.331788e+02
1.545980e+03, 6.154673e+02
1.576899e+03, 1.393534e+03
1.608437e+03, 1.894620e+03
1.640606e+03, 3.978540e+03
1.673418e+03, 7.590834e+03
1.706886e+03, 1.457853e+04
1.741024e+03, 2.690134e+04
1.775845e+03, 5.007457e+04
1.811362e+03, 9.030201e+04
1.847589e+03, 1.401685e+05
1.884541e+03, 2.516291e+05
1.922231e+03, 4.832064e+05
1.960676e+03, 8.128281e+05
1.999890e+03, 1.363223e+06
2.039887e+03, 2.160151e+06
2.080685e+03, 6.060481e+06
2.122299e+03, 1.125699e+07
2.164745e+03, 1.536731e+07
2.208040e+03, 2.771326e+07
2.252200e+03, 5.207155e+07
2.297244e+03, 8.761932e+07
2.343189e+03, 1.354293e+08
2.390053e+03, 2.950286e+08
2.437854e+03, 6.322902e+08
2.486611e+03, 6.485755e+08
2.536344e+03, 1.880056e+09
2.587070e+03, 2.568622e+09
2.638812e+03, 8.155184e+09
2.691588e+03, 1.013345e+10
2.745420e+03, 1.292277e+10
2.800328e+03, 2.521565e+10
2.856335e+03, 2.126683e+10
2.913461e+03, 8.067032e+10
2.971731e+03, 6.313294e+10
3.031165e+03, 8.013887e+10
3.091789e+03, 2.545428e+11
3.153624e+03, 5.989306e+11
3.216697e+03, 5.991272e+11
3.281031e+03, 1.174157e+12
3.346651e+03, 1.092666e+12
3.413584e+03, 9.355267e+11
3.481856e+03, 1.012121e+12
3.551493e+03, 1.426155e+12
3.622523e+03, 1.368426e+12
3.694974e+03, 2.017351e+12
3.768873e+03, 2.024785e+12
3.844251e+03, 1.868423e+12
3.921136e+03, 2.195923e+12
3.999558e+03, 4.590945e+12
4.079549e+03, 6.108570e+12
4.161140e+03, 5.831138e+12
4.244363e+03, 3.303073e+12
4.329250e+03, 7.057751e+12
4.415835e+03, 7.548499e+12
4.504152e+03, 9.120785e+12
4.594235e+03, 9.182778e+12
4.686120e+03, 8.883302e+12
4.779842e+03, 7.458484e+12
4.875439e+03, 1.030277e+13
4.972948e+03, 9.162803e+12
5.072407e+03, 9.160903e+12
5.173855e+03, 9.524299e+12
5.277332e+03, 1.532593e+13
5.382879e+03, 1.808259e+13
5.490536e+03, 1.502094e+13
5.600347e+03, 1.610514e+13
5.712354e+03, 1.903708e+13
5.826601e+03, 1.872649e+13
5.943133e+03, 1.324443e+13
6.061996e+03, 2.306555e+13
6.183236e+03, 1.766812e+13
6.306900e+03, 1.811926e+13
6.433038e+03, 2.172820e+13
6.561699e+03, 2.829657e+13
6.692933e+03, 2.030839e+13
6.826792e+03, 1.739540e+13
6.963328e+03, 2.649577e+13
7.102594e+03, 2.436520e+13
7.244646e+03, 2.977594e+13
