wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 4.121364e-04
1.020000e+03, 4.794009e-04
1.040400e+03, 3.985515e-03
1.061208e+03, 1.130931e-02
1.082432e+03, 4.399852e-02
1.104081e+03, 1.235553e-01
1.126162e+03, 3.937211e-01
1.148686e+03, 6.538004e-01
1.171659e+03, 7.411341e-01
1.195093e+03, 2.979090e+00
1.218994e+03, 3.835809e+00
1.243374e+03, 4.833453e+01
1.268242e+03, 9.058994e+01
1.293607e+03, 2.570787e+02
1.319479e+03, 4.193991e+02
1.345868e+03, 8.550705e+02
1.372786e+03, 1.482786e+03
1.400241e+03, 5.678765e+03
1.428246e+03, 1.309219e+04
1.456811e+03, 2.522272e+04
1.485947e+03, 4.635436e+04
1.515666e+03, 7.801791e+04
1.545980e+03, 8.215191e+04
1.576899e+03, 1.784560e+05
1.608437e+03, 1.804823e+05
1.640606e+03, 3.572875e+05
1.673418e+03, 6.409312e+05
1.706886e+03, 1.169643e+06
1.741024e+03, 2.132930e+06
1.775845e+03, 3.579432e+06
1.811362e+03, 6.080604e+06
1.847589e+03, 8.663756e+06
1.884541e+03, 1.484312e+07
1.922231e+03, 2.653485e+07
1.960676e+03, 4.203584e+07
1.999890e+03, 6.632507e+07
2.039887e+03, 9.746080e+07
2.080685e+03, 2.051962e+08
2.122299e+03, 3.252190e+08
2.164745e+03, 4.043861e+08
2.208040e+03, 6.313914e+08
2.252200e+03, 1.038523e+09
2.297244e+03, 1.630602e+09
2.343189e+03, 2.298582e+09
2.390053e+03, 3.941356e+09
2.437854e+03, 6.839101e+09
2.486611e+03, 8.075244e+09
2.536344e+03, 1.651603e+10
2.587070e+03, 2.109611e+10
2.638812e+03, 4.843876e+10
2.691588e+03, 6.064090e+10
2.745420e+03, 7.805153e+10
2.800328e+03, 1.343348e+11
2.856335e+03, 1.323394e+11
2.913461e+03, 3.676034e+11
2.971731e+03, 3.212143e+11
3.031165e+03, 4.069452e+11
3.091789e+03, 1.007408e+12
3.153624e+03, 2.042764e+12
3.216697e+03, 2.084733e+12
3.281031e+03, 3.808229e+12
3.346651e+03, 3.375506e+12
3.413584e+03, 3.136583e+12
3.481856e+03, 3.775762e+12
3.551493e+03, 4.647221e+12
3.622523e+03, 4.605439e+12
3.694974e+03, 6.628944e+12
3.768873e+03, 6.425125e+12
3.844251e+03, 5.928125e+12
3.921136e+03, 6.939126e+12
3.999558e+03, 1.313501e+13
4.079549e+03, 1.693874e+13
4.161140e+03, 1.740522e+13
4.244363e+03, 1.193742e+13
4.329250e+03, 2.141161e+13
4.415835e+03, 2.303590e+13
4.504152e+03, 2.930246e+13
4.594235e+03, 3.179871e+13
4.686120e+03, 3.119944e+13
4.779842e+03, 2.741403e+13
4.875439e+03, 3.436362e+13
4.972948e+03, 2.977069e+13
5.072407e+03, 2.758799e+13
5.173855e+03, 2.819352e+13
5.277332e+03, 4.421754e+13
5.382879e+03, 4.884658e+13
5.490536e+03, 4.676697e+13
5.600347e+03, 4.995617e+13
5.712354e+03, 5.716889e+13
5.826601e+03, 5.797930e+13
5.943133e+03, 4.850705e+13
6.061996e+03, 6.419705e+13
6.183236e+03, 5.456176e+13
6.306900e+03, 5.647485e+13
6.433038e+03, 5.971442e+13
6.561699e+03, 7.114432e+13
6.692933e+03, 6.088574e+13
6.826792e+03, 5.180588e+13
6.963328e+03, 6.405754e+13
7.102594e+03, 6.425292e+13
7.244646e+03, 7.161319e+13
7.389539e+03, 8.549245e+13
7.537330e+03, 8.890139e+13
7.688076e+03, 8.052188e+13
7.841838e+03, 8.252455e+13
7.998675e+03, 8.734425e+13
8.158648e+03, 8.823538e+13
8.321821e+03, 8.730084e+13
8.488258e+03, 8.257653e+13
8.658023e+03, 8.451880e+13
8.831183e+03, 8.467436e+13
9.007807e+03, 8.344310e+13
9.187963e+03, 8.449694e+13
9.371722e+03, 8.270004e+13
9.559157e+03, 8.209123e+13
9.750340e+03, 8.015715e+13
9.945347e+03, 7.741704e+13
1.014425e+04, 7.652942e+13
1.034714e+04, 7.447894e+13
1.055408e+04, 7.437781e+13
1.076516e+04, 7.273722e+13
1.098047e+04, 7.190690e+13
1.120008e+04, 7.032629e+13
1.142408e+04, 6.852635e+13
1.165256e+04, 6.738253e+13
1.188561e+04, 6.503643e+13
1.212332e+04, 6.426073e+13
1.236579e+04, 6.264824e+13
1.261310e+04, 6.086887e+13
1.286537e+04, 5.898823e+13
1.312267e+04, 5.735313e+13
1.338513e+04, 5.542482e+13
1.365283e+04, 5.404491e+13
1.392589e+04, 5.171110e+13
1.420440e+04, 5.052206e+13
1.448849e+04, 4.896215e+13
1.477826e+04, 4.720012e+13
1.507383e+04, 4.640636e+13
1.537530e+04, 4.557293e+13
1.568281e+04, 4.442334e+13
1.599647e+04, 4.405853e+13
1.631640e+04, 4.244201e+13
1.664272e+04, 4.118003e+13
1.697558e+04, 3.916953e+13
1.731509e+04, 3.679762e+13
1.766139e+04, 3.411707e+13
1.801462e+04, 3.173068e+13
1.837491e+04, 2.937097e+13
1.874241e+04, 2.764492e+13
1.911726e+04, 2.637793e+13
1.949960e+04, 2.387286e+13
1.988959e+04, 2.226647e+13
2.028739e+04, 2.215660e+13
2.069313e+04, 2.088702e+13
2.110700e+04, 1.978049e+13
2.152914e+04, 1.891217e+13
2.195972e+04, 1.780875e+13
2.239891e+04, 1.697384e+13
2.284689e+04, 1.568193e+13
2.330383e+04, 1.437066e+13
2.376991e+04, 1.327736e+13
2.424531e+04, 1.212744e+13
2.473021e+04, 1.066537e+13
2.522482e+04, 9.325261e+12
2.572931e+04, 9.196321e+12
2.624390e+04, 8.862246e+12
2.676878e+04, 8.311895e+12
2.730415e+04, 7.840707e+12
2.785023e+04, 7.205010e+12
2.840724e+04, 6.729987e+12
2.897538e+04, 6.336544e+12
2.955489e+04, 5.830904e+12
3.014599e+04, 5.487008e+12
3.074891e+04, 5.164372e+12
3.136389e+04, 4.847149e+12
3.199117e+04, 4.596399e+12
3.263099e+04, 4.348940e+12
3.328361e+04, 4.142166e+12
3.394928e+04, 3.920441e+12
3.462827e+04, 3.716944e+12
3.532083e+04, 3.498285e+12
3.602725e+04, 3.276554e+12
3.674779e+04, 3.082228e+12
3.748275e+04, 2.902887e+12
3.823240e+04, 2.721745e+12
3.899705e+04, 2.533071e+12
3.977699e+04, 2.370640e+12
4.057253e+04, 2.186357e+12
4.138398e+04, 2.030990e+12
4.221166e+04, 1.890506e+12
4.305590e+04, 1.719460e+12
4.391701e+04, 1.532740e+12
4.479535e+04, 1.401320e+12
4.569126e+04, 1.289930e+12
4.660509e+04, 1.212626e+12
4.753719e+04, 1.134860e+12
4.848793e+04, 1.060936e+12
4.945769e+04, 9.869195e+11
5.044684e+04, 9.153506e+11
5.145578e+04, 8.548895e+11
5.248490e+04, 7.952134e+11
5.353460e+04, 7.422627e+11
5.460529e+04, 6.919688e+11
5.569739e+04, 6.467720e+11
5.681134e+04, 6.033781e+11
5.794757e+04, 5.664633e+11
5.910652e+04, 5.294567e+11
6.028865e+04, 4.958570e+11
6.149442e+04, 4.636790e+11
6.272431e+04, 4.319567e+11
6.397880e+04, 3.986873e+11
6.525837e+04, 3.581467e+11
6.656354e+04, 3.257812e+11
6.789481e+04, 3.020243e+11
6.925271e+04, 2.805433e+11
7.063776e+04, 2.608011e+11
7.205052e+04, 2.432012e+11
7.349153e+04, 2.262356e+11
7.496136e+04, 2.104183e+11
7.646058e+04, 1.926503e+11
7.798980e+04, 1.770924e+11
7.954959e+04, 1.635550e+11
8.114058e+04, 1.518832e+11
8.276340e+04, 1.410214e+11
8.441866e+04, 1.310098e+11
8.610704e+04, 1.219806e+11
8.782918e+04, 1.130688e+11
8.958576e+04, 1.056283e+11
9.137748e+04, 9.821130e+10
9.320503e+04, 9.106247e+10
9.506913e+04, 8.474219e+10
9.697051e+04, 7.856636e+10
9.890992e+04, 7.278910e+10
1.008881e+05, 6.766487e+10
1.029059e+05, 6.265672e+10
1.049640e+05, 5.783021e+10
1.070633e+05, 5.352029e+10
1.092045e+05, 4.952599e+10
1.113886e+05, 4.569813e+10
1.136164e+05, 4.231538e+10
1.158887e+05, 3.906318e+10
1.182065e+05, 3.612307e+10
1.205706e+05, 3.359243e+10
1.229821e+05, 3.111471e+10
1.254417e+05, 2.863471e+10
1.279505e+05, 2.673704e+10
1.305095e+05, 2.467419e+10
1.331197e+05, 2.287617e+10
1.357821e+05, 2.113319e+10
1.384978e+05, 1.971362e+10
1.412677e+05, 1.810549e+10
1.440931e+05, 1.688257e+10
1.469749e+05, 1.558131e+10
1.499144e+05, 1.446951e+10
1.529127e+05, 1.334089e+10
1.559710e+05, 1.243273e+10
1.590904e+05, 1.142129e+10
1.622722e+05, 1.065468e+10
1.655177e+05, 9.819553e+09
1.688280e+05, 9.132218e+09
1.722046e+05, 8.435020e+09
1.756487e+05, 7.798771e+09
