wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 4.267268e-16
1.020000e+03, 5.691826e-16
1.040400e+03, 8.442834e-15
1.061208e+03, 5.139713e-14
1.082432e+03, 1.530944e-12
1.104081e+03, 3.349526e-11
1.126162e+03, 4.198568e-10
1.148686e+03, 1.244854e-09
1.171659e+03, 1.454357e-09
1.195093e+03, 1.913103e-07
1.218994e+03, 2.991428e-07
1.243374e+03, 1.193817e-06
1.268242e+03, 7.298527e-07
1.293607e+03, 5.293782e-06
1.319479e+03, 4.634285e-06
1.345868e+03, 1.248164e-05
1.372786e+03, 2.124844e-05
1.400241e+03, 5.991469e-04
1.428246e+03, 3.213851e-03
1.456811e+03, 8.213209e-03
1.485947e+03, 1.867946e-02
1.515666e+03, 2.188054e-02
1.545980e+03, 8.815257e-03
1.576899e+03, 5.738406e-02
1.608437e+03, 5.677947e-02
1.640606e+03, 3.502446e-01
1.673418e+03, 8.098326e-01
1.706886e+03, 2.169028e+00
1.741024e+03, 3.874091e+00
1.775845e+03, 1.015374e+01
1.811362e+03, 2.057903e+01
1.847589e+03, 2.524284e+01
1.884541e+03, 5.713261e+01
1.922231e+03, 1.806069e+02
1.960676e+03, 3.413046e+02
1.999890e+03, 6.461262e+02
2.039887e+03, 1.101498e+03
2.080685e+03, 1.598994e+04
2.122299e+03, 4.155354e+04
2.164745e+03, 6.010193e+04
2.208040e+03, 1.459337e+05
2.252200e+03, 3.750666e+05
2.297244e+03, 7.026350e+05
2.343189e+03, 1.479691e+06
2.390053e+03, 4.850134e+06
2.437854e+03, 1.483617e+07
2.486611e+03, 9.566176e+06
2.536344e+03, 4.925191e+07
2.587070e+03, 9.009670e+07
2.638812e+03, 4.526347e+08
2.691588e+03, 5.253914e+08
2.745420e+03, 5.945093e+08
2.800328e+03, 1.233975e+09
2.856335e+03, 7.226952e+08
2.913461e+03, 5.217825e+09
2.971731e+03, 2.948311e+09
3.031165e+03, 3.771169e+09
3.091789e+03, 2.645459e+10
3.153624e+03, 1.005372e+11
3.216697e+03, 8.596568e+10
3.281031e+03, 2.168062e+11
3.346651e+03, 2.065561e+11
3.413584e+03, 1.228561e+11
3.481856e+03, 1.011694e+11
3.551493e+03, 2.193319e+11
3.622523e+03, 1.838131e+11
3.694974e+03, 2.921097e+11
3.768873e+03, 3.170610e+11
3.844251e+03, 2.556295e+11
3.921136e+03, 2.912136e+11
3.999558e+03, 9.437166e+11
4.079549e+03, 1.387562e+12
4.161140e+03, 1.099351e+12
4.244363e+03, 3.822561e+11
4.329250e+03, 1.271450e+12
4.415835e+03, 1.366801e+12
4.504152e+03, 1.550709e+12
4.594235e+03, 1.424090e+12
4.686120e+03, 1.362964e+12
4.779842e+03, 1.064673e+12
4.875439e+03, 1.737227e+12
4.972948e+03, 1.640945e+12
5.072407e+03, 1.740652e+12
5.173855e+03, 1.900427e+12
5.277332e+03, 3.104948e+12
5.382879e+03, 4.027236e+12
5.490536e+03, 2.695137e+12
5.600347e+03, 2.858442e+12
5.712354e+03, 3.455674e+12
5.826601e+03, 3.209724e+12
5.943133e+03, 1.771443e+12
6.061996e+03, 4.769993e+12
6.183236e+03, 3.215605e+12
6.306900e+03, 3.181212e+12
6.433038e+03, 4.760039e+12
6.561699e+03, 6.839890e+12
6.692933e+03, 3.672857e+12
6.826792e+03, 3.435312e+12
6.963328e+03, 7.619379e+12
7.102594e+03, 5.680724e+12
7.244646e+03, 7.785655e+12
7.389539e+03, 1.916693e+13
7.537330e+03, 2.218243e+13
7.688076e+03, 1.105491e+13
7.841838e+03, 1.449540e+13
7.998675e+03, 2.208028e+13
8.158648e+03, 2.668408e+13
8.321821e+03, 2.526914e+13
8.488258e+03, 1.806410e+13
8.658023e+03, 2.290405e+13
8.831183e+03, 2.581883e+13
9.007807e+03, 2.586103e+13
9.187963e+03, 3.072830e+13
9.371722e+03, 2.792592e+13
9.559157e+03, 3.166015e+13
9.750340e+03, 3.197496e+13
9.945347e+03, 2.412998e+13
1.014425e+04, 2.526416e+13
1.034714e+04, 2.525941e+13
1.055408e+04, 2.875234e+13
1.076516e+04, 3.188361e+13
1.098047e+04, 3.279983e+13
1.120008e+04, 3.231389e+13
1.142408e+04, 3.156757e+13
1.165256e+04, 3.214448e+13
1.188561e+04, 3.088245e+13
1.212332e+04, 3.093677e+13
1.236579e+04, 3.040638e+13
1.261310e+04, 2.981407e+13
1.286537e+04, 2.968888e+13
1.312267e+04, 2.948881e+13
1.338513e+04, 2.519655e+13
1.365283e+04, 2.375718e+13
1.392589e+04, 2.292303e+13
1.420440e+04, 2.098955e+13
1.448849e+04, 2.080515e+13
1.477826e+04, 2.021524e+13
1.507383e+04, 2.035608e+13
1.537530e+04, 2.050699e+13
1.568281e+04, 2.074884e+13
1.599647e+04, 2.117846e+13
1.631640e+04, 2.125358e+13
1.664272e+04, 2.132163e+13
1.697558e+04, 2.032072e+13
1.731509e+04, 1.781463e+13
1.766139e+04, 1.533534e+13
1.801462e+04, 1.343672e+13
1.837491e+04, 1.232984e+13
1.874241e+04, 1.130550e+13
1.911726e+04, 1.143139e+13
1.949960e+04, 1.053360e+13
1.988959e+04, 9.836715e+12
2.028739e+04, 9.760950e+12
2.069313e+04, 9.607469e+12
2.110700e+04, 9.648882e+12
2.152914e+04, 9.736675e+12
2.195972e+04, 9.573777e+12
2.239891e+04, 9.514147e+12
2.284689e+04, 8.918547e+12
2.330383e+04, 7.895052e+12
2.376991e+04, 7.111406e+12
2.424531e+04, 6.046198e+12
2.473021e+04, 5.159295e+12
2.522482e+04, 4.534935e+12
2.572931e+04, 4.279625e+12
2.624390e+04, 4.228250e+12
2.676878e+04, 4.086536e+12
2.730415e+04, 3.633348e+12
2.785023e+04, 3.382976e+12
2.840724e+04, 3.144734e+12
2.897538e+04, 2.982299e+12
2.955489e+04, 2.806609e+12
3.014599e+04, 2.672933e+12
3.074891e+04, 2.571913e+12
3.136389e+04, 2.485127e+12
3.199117e+04, 2.410299e+12
3.263099e+04, 2.361000e+12
3.328361e+04, 2.312131e+12
3.394928e+04, 2.243728e+12
3.462827e+04, 2.183651e+12
3.532083e+04, 2.110938e+12
3.602725e+04, 2.025922e+12
3.674779e+04, 1.947496e+12
3.748275e+04, 1.879091e+12
3.823240e+04, 1.797356e+12
3.899705e+04, 1.701566e+12
3.977699e+04, 1.579891e+12
4.057253e+04, 1.422460e+12
4.138398e+04, 1.304880e+12
4.221166e+04, 1.208033e+12
4.305590e+04, 1.096088e+12
4.391701e+04, 9.717518e+11
4.479535e+04, 8.839707e+11
4.569126e+04, 8.127140e+11
4.660509e+04, 7.628768e+11
4.753719e+04, 7.121105e+11
4.848793e+04, 6.662811e+11
4.945769e+04, 6.194065e+11
5.044684e+04, 5.666208e+11
5.145578e+04, 5.301304e+11
5.248490e+04, 4.919532e+11
5.353460e+04, 4.609601e+11
5.460529e+04, 4.284351e+11
5.569739e+04, 3.992801e+11
5.681134e+04, 3.739115e+11
5.794757e+04, 3.540285e+11
5.910652e+04, 3.349951e+11
6.028865e+04, 3.180700e+11
6.149442e+04, 3.018170e+11
6.272431e+04, 2.853576e+11
6.397880e+04, 2.598083e+11
6.525837e+04, 2.226000e+11
6.656354e+04, 1.980970e+11
6.789481e+04, 1.854796e+11
6.925271e+04, 1.742213e+11
7.063776e+04, 1.623746e+11
7.205052e+04, 1.538684e+11
7.349153e+04, 1.435492e+11
7.496136e+04, 1.349923e+11
7.646058e+04, 1.227636e+11
7.798980e+04, 1.132132e+11
7.954959e+04, 1.043410e+11
8.114058e+04, 9.764666e+10
8.276340e+04, 9.085854e+10
8.441866e+04, 8.513687e+10
8.610704e+04, 8.001624e+10
8.782918e+04, 7.458828e+10
8.958576e+04, 7.077385e+10
9.137748e+04, 6.665502e+10
9.320503e+04, 6.237667e+10
9.506913e+04, 5.879458e+10
9.697051e+04, 5.485666e+10
9.890992e+04, 5.115528e+10
1.008881e+05, 4.778137e+10
1.029059e+05, 4.441089e+10
1.049640e+05, 4.092781e+10
1.070633e+05, 3.793189e+10
1.092045e+05, 3.508543e+10
1.113886e+05, 3.232302e+10
1.136164e+05, 3.002407e+10
1.158887e+05, 2.757055e+10
1.182065e+05, 2.545835e+10
1.205706e+05, 2.379216e+10
1.229821e+05, 2.208804e+10
1.254417e+05, 2.020893e+10
1.279505e+05, 1.891220e+10
1.305095e+05, 1.752058e+10
1.331197e+05, 1.627284e+10
1.357821e+05, 1.499945e+10
1.384978e+05, 1.406329e+10
1.412677e+05, 1.292060e+10
1.440931e+05, 1.201870e+10
1.469749e+05, 1.116348e+10
1.499144e+05, 1.035925e+10
1.529127e+05, 9.557671e+09
1.559710e+05, 8.925871e+09
1.590904e+05, 8.206137e+09
1.622722e+05, 7.670021e+09
1.655177e+05, 7.083997e+09
1.688280e+05, 6.624253e+09
1.722046e+05, 6.088233e+09
1.756487e+05, 5.650510e+09
1.791616e+05, 5.311332e+09
1.827449e+05, 4.906818e+09
1.863998e+05, 4.531389e+09
1.901278e+05, 4.254959e+09
1.939303e+05, 3.910394e+09
1.978089e+05, 3.631244e+09
