wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 8.651229e-14
1.020000e+03, 1.578044e-13
1.040400e+03, 1.568642e-12
1.061208e+03, 8.397541e-12
1.082432e+03, 1.420963e-10
1.104081e+03, 1.600465e-09
1.126162e+03, 1.305471e-08
1.148686e+03, 3.412557e-08
1.171659e+03, 4.148453e-08
1.195093e+03, 3.640209e-06
1.218994e+03, 6.447666e-06
1.243374e+03, 3.805684e-05
1.268242e+03, 3.340749e-05
1.293607e+03, 1.865209e-04
1.319479e+03, 2.072805e-04
1.345868e+03, 5.388506e-04
1.372786e+03, 9.718177e-04
1.400241e+03, 1.473994e-02
1.428246e+03, 6.370365e-02
1.456811e+03, 1.539086e-01
1.485947e+03, 3.362002e-01
1.515666e+03, 4.339308e-01
1.545980e+03, 2.462060e-01
1.576899e+03, 1.062903e+00
1.608437e+03, 1.090741e+00
1.640606e+03, 4.410608e+00
1.673418e+03, 9.748461e+00
1.706886e+03, 2.369048e+01
1.741024e+03, 4.374252e+01
1.775845e+03, 1.014834e+02
1.811362e+03, 2.019522e+02
1.847589e+03, 2.708657e+02
1.884541e+03, 5.701222e+02
1.922231e+03, 1.523555e+03
1.960676e+03, 2.797166e+03
1.999890e+03, 5.124858e+03
2.039887e+03, 8.524594e+03
2.080685e+03, 8.498127e+04
2.122299e+03, 2.051446e+05
2.164745e+03, 2.908269e+05
2.208040e+03, 6.570139e+05
2.252200e+03, 1.562499e+06
2.297244e+03, 2.878166e+06
2.343189e+03, 5.381515e+06
2.390053e+03, 1.589104e+07
2.437854e+03, 4.420836e+07
2.486611e+03, 3.393566e+07
2.536344e+03, 1.495412e+08
2.587070e+03, 2.458277e+08
2.638812e+03, 1.082535e+09
2.691588e+03, 1.296615e+09
2.745420e+03, 1.536123e+09
2.800328e+03, 3.188604e+09
2.856335e+03, 2.099417e+09
2.913461e+03, 1.243855e+10
2.971731e+03, 7.832176e+09
3.031165e+03, 9.957130e+09
3.091789e+03, 5.230690e+10
3.153624e+03, 1.681838e+11
3.216697e+03, 1.524867e+11
3.281031e+03, 3.514834e+11
3.346651e+03, 3.340442e+11
3.413584e+03, 2.277852e+11
3.481856e+03, 2.068610e+11
3.551493e+03, 3.815265e+11
3.622523e+03, 3.361015e+11
3.694974e+03, 5.218830e+11
3.768873e+03, 5.503684e+11
3.844251e+03, 4.700271e+11
3.921136e+03, 5.451627e+11
3.999558e+03, 1.502008e+12
4.079549e+03, 2.144866e+12
4.161140e+03, 1.834261e+12
4.244363e+03, 7.485991e+11
4.329250e+03, 2.121344e+12
4.415835e+03, 2.270327e+12
4.504152e+03, 2.623016e+12
4.594235e+03, 2.471340e+12
4.686120e+03, 2.373413e+12
4.779842e+03, 1.890251e+12
4.875439e+03, 2.937272e+12
4.972948e+03, 2.698832e+12
5.072407e+03, 2.834603e+12
5.173855e+03, 3.026823e+12
5.277332e+03, 4.998214e+12
5.382879e+03, 6.294099e+12
5.490536e+03, 4.502663e+12
5.600347e+03, 4.811931e+12
5.712354e+03, 5.780606e+12
5.826601e+03, 5.445106e+12
5.943133e+03, 3.239229e+12
6.061996e+03, 7.660515e+12
6.183236e+03, 5.342510e+12
6.306900e+03, 5.375041e+12
6.433038e+03, 7.509563e+12
6.561699e+03, 1.049244e+13
6.692933e+03, 6.168694e+12
6.826792e+03, 5.580883e+12
6.963328e+03, 1.096252e+13
7.102594e+03, 8.741095e+12
7.244646e+03, 1.164376e+13
7.389539e+03, 2.474177e+13
7.537330e+03, 2.808510e+13
7.688076e+03, 1.631234e+13
7.841838e+03, 1.988096e+13
7.998675e+03, 2.795008e+13
8.158648e+03, 3.223600e+13
8.321821e+03, 3.109900e+13
8.488258e+03, 2.400916e+13
8.658023e+03, 2.896670e+13
8.831183e+03, 3.154811e+13
9.007807e+03, 3.142137e+13
9.187963e+03, 3.593177e+13
9.371722e+03, 3.345134e+13
9.559157e+03, 3.653165e+13
9.750340e+03, 3.664288e+13
9.945347e+03, 2.935857e+13
1.014425e+04, 3.058235e+13
1.034714e+04, 3.035156e+13
1.055408e+04, 3.342887e+13
1.076516e+04, 3.588766e+13
1.098047e+04, 3.660033e+13
1.120008e+04, 3.604737e+13
1.142408e+04, 3.521520e+13
1.165256e+04, 3.563672e+13
1.188561e+04, 3.434818e+13
1.212332e+04, 3.432439e+13
1.236579e+04, 3.368126e+13
1.261310e+04, 3.298579e+13
1.286537e+04, 3.259588e+13
1.312267e+04, 3.221309e+13
1.338513e+04, 2.834935e+13
1.365283e+04, 2.699659e+13
1.392589e+04, 2.596725e+13
1.420440e+04, 2.407915e+13
1.448849e+04, 2.372826e+13
1.477826e+04, 2.294493e+13
1.507383e+04, 2.297407e+13
1.537530e+04, 2.293514e+13
1.568281e+04, 2.302136e+13
1.599647e+04, 2.332165e+13
1.631640e+04, 2.320984e+13
1.664272e+04, 2.318456e+13
1.697558e+04, 2.210918e+13
1.731509e+04, 1.965551e+13
1.766139e+04, 1.714823e+13
