"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 4.6650097e+03
2.004000000e-01 5.3960183e+03
2.008008000e-01 5.5036656e+03
2.012024016e-01 6.4465566e+03
2.016048064e-01 6.1580192e+03
2.020080160e-01 6.1981951e+03
2.024120320e-01 6.4636407e+03
2.028168561e-01 7.1772166e+03
2.032224898e-01 8.3355898e+03
2.036289348e-01 8.3757203e+03
2.040361927e-01 8.6570360e+03
2.044442651e-01 8.3104099e+03
2.048531536e-01 9.1348120e+03
2.052628599e-01 9.6388996e+03
2.056733856e-01 1.1107161e+04
2.060847324e-01 1.0251413e+04
2.064969019e-01 9.8663172e+03
2.069098957e-01 1.1480999e+04
2.073237154e-01 9.1831172e+04
2.077383629e-01 3.7671905e+04
2.081538396e-01 8.9402296e+04
2.085701473e-01 8.7033754e+04
2.089872876e-01 1.7507937e+05
2.094052622e-01 1.1104414e+05
2.098240727e-01 1.9153117e+05
2.102437208e-01 1.4097513e+05
2.106642083e-01 1.3318272e+05
2.110855367e-01 2.0213497e+05
2.115077078e-01 1.5032378e+05
2.119307232e-01 1.7582256e+05
2.123545846e-01 3.1558513e+05
2.127792938e-01 1.3369942e+05
2.132048524e-01 3.4370556e+05
2.136312621e-01 2.4417917e+05
2.140585246e-01 1.8500610e+05
2.144866417e-01 2.6606110e+05
2.149156149e-01 1.3448937e+05
2.153454462e-01 3.4057742e+05
2.157761371e-01 3.9880259e+05
2.162076893e-01 2.5819283e+05
2.166401047e-01 2.0558324e+05
2.170733849e-01 2.9921028e+05
2.175075317e-01 5.5211463e+05
2.179425468e-01 1.4613563e+05
2.183784318e-01 3.0477353e+05
2.188151887e-01 4.6659669e+05
2.192528191e-01 5.6651478e+05
2.196913247e-01 7.2014195e+05
2.201307074e-01 3.2590505e+05
2.205709688e-01 9.4886582e+05
2.210121107e-01 6.4766163e+05
2.214541349e-01 1.0807667e+06
2.218970432e-01 2.8680992e+05
2.223408373e-01 5.5052173e+05
2.227855190e-01 9.2399469e+05
2.232310900e-01 1.5294292e+06
2.236775522e-01 2.2247188e+06
2.241249073e-01 9.5462649e+05
2.245731571e-01 1.5729673e+06
2.250223034e-01 2.1235395e+06
2.254723480e-01 2.9598716e+06
2.259232927e-01 2.4932412e+05
2.263751393e-01 5.9903348e+05
2.268278896e-01 9.2798829e+05
2.272815454e-01 2.5750120e+06
2.277361085e-01 2.2304946e+06
2.281915807e-01 1.7494159e+06
2.286479638e-01 1.4856409e+06
2.291052598e-01 3.3362469e+06
2.295634703e-01 3.7904231e+06
2.300225972e-01 1.2572157e+06
2.304826424e-01 7.7740948e+05
2.309436077e-01 1.9691743e+06
2.314054949e-01 4.5001077e+06
2.318683059e-01 7.3119884e+06
2.323320425e-01 2.9167524e+06
2.327967066e-01 3.3453099e+06
2.332623000e-01 9.3312789e+06
2.337288246e-01 8.8724102e+06
2.341962823e-01 1.0602814e+07
2.346646748e-01 1.2201463e+06
2.351340042e-01 2.2319586e+06
2.356042722e-01 2.8578873e+06
2.360754807e-01 6.3200171e+06
2.365476317e-01 5.5301905e+06
2.370207270e-01 3.0210971e+06
