"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 5.3296727e+00
2.004000000e-01 6.3731552e+00
2.008008000e-01 6.3280727e+00
2.012024016e-01 1.1848085e+01
2.016048064e-01 6.5161059e+00
2.020080160e-01 8.6115280e+00
2.024120320e-01 5.7244996e+00
2.028168561e-01 8.5457378e+00
2.032224898e-01 1.5752501e+01
2.036289348e-01 1.0536369e+01
2.040361927e-01 1.1361164e+01
2.044442651e-01 8.3743996e+00
2.048531536e-01 2.5461724e+01
2.052628599e-01 1.9611386e+01
2.056733856e-01 2.9329917e+01
2.060847324e-01 1.3270641e+01
2.064969019e-01 8.1165102e+00
2.069098957e-01 2.0739552e+01
2.073237154e-01 4.2688904e+01
2.077383629e-01 1.5641947e+01
2.081538396e-01 3.4002094e+01
2.085701473e-01 1.2167488e+01
2.089872876e-01 3.7586703e+01
2.094052622e-01 2.2031147e+01
2.098240727e-01 6.0000769e+01
2.102437208e-01 2.5215585e+01
2.106642083e-01 2.6983628e+01
2.110855367e-01 5.2323965e+01
2.115077078e-01 4.1016758e+01
2.119307232e-01 6.7498112e+01
2.123545846e-01 1.9283961e+02
2.127792938e-01 3.1401361e+01
2.132048524e-01 1.4769018e+02
2.136312621e-01 1.0668927e+02
2.140585246e-01 3.0992292e+01
2.144866417e-01 5.6095046e+01
2.149156149e-01 2.2967972e+01
2.153454462e-01 9.9225616e+01
2.157761371e-01 1.4067811e+02
2.162076893e-01 7.3764084e+01
2.166401047e-01 2.2006441e+01
2.170733849e-01 6.7322699e+01
2.175075317e-01 2.8122555e+02
2.179425468e-01 1.3908025e+01
2.183784318e-01 7.2189761e+01
2.188151887e-01 1.0693715e+02
2.192528191e-01 1.6757797e+02
2.196913247e-01 3.2879019e+02
2.201307074e-01 8.4929804e+01
2.205709688e-01 6.1042606e+02
2.210121107e-01 3.2470846e+02
2.214541349e-01 8.8656569e+02
2.218970432e-01 3.1548653e+01
2.223408373e-01 9.5108979e+01
2.227855190e-01 2.8773313e+02
2.232310900e-01 1.0371377e+03
2.236775522e-01 1.9859799e+03
2.241249073e-01 2.3848614e+02
2.245731571e-01 5.5815656e+02
2.250223034e-01 1.9835128e+03
2.254723480e-01 2.8813417e+03
2.259232927e-01 9.7567165e+00
2.263751393e-01 1.2327663e+02
2.268278896e-01 2.6965364e+02
2.272815454e-01 1.4034994e+03
2.277361085e-01 9.2802515e+02
2.281915807e-01 5.8841081e+02
2.286479638e-01 5.1998010e+02
2.291052598e-01 2.7845159e+03
2.295634703e-01 3.3856695e+03
2.300225972e-01 2.1577370e+02
2.304826424e-01 7.7248628e+01
2.309436077e-01 4.7669258e+02
2.314054949e-01 3.1798519e+03
2.318683059e-01 5.3679619e+03
2.323320425e-01 2.0303700e+03
2.327967066e-01 2.6198032e+03
2.332623000e-01 1.5617348e+04
2.337288246e-01 1.9444861e+04
2.341962823e-01 3.4452724e+04
2.346646748e-01 3.7333912e+02
2.351340042e-01 7.9280674e+02
2.356042722e-01 1.5346787e+03
2.360754807e-01 4.8928460e+03
2.365476317e-01 7.2785165e+03
2.370207270e-01 1.7601453e+03
2.374947684e-01 3.0374656e+03
2.379697580e-01 1.5616716e+04
2.384456975e-01 3.1957621e+04
2.389225889e-01 7.2556274e+03
2.394004340e-01 1.0327064e+04
2.398792349e-01 2.4632181e+04
2.403589934e-01 1.2621073e+05
2.408397114e-01 1.6867985e+05
2.413213908e-01 2.1401546e+04
2.418040336e-01 2.1037941e+03
2.422876416e-01 6.7410195e+03
2.427722169e-01 8.4702491e+04
2.432577614e-01 1.1720827e+05
2.437442769e-01 7.7927067e+04
2.442317654e-01 2.1578655e+05
2.447202290e-01 2.3473182e+05
2.452096694e-01 4.1066556e+05
2.457000888e-01 3.6071675e+05
2.461914889e-01 8.3944805e+03
2.466838719e-01 1.0563239e+05
2.471772397e-01 4.8904808e+04
2.476715941e-01 6.9456370e+04
2.481669373e-01 6.0087554e+03
2.486632712e-01 8.7474610e+02
2.491605977e-01 2.2108820e+03
2.496589189e-01 3.1307491e+04
2.501582368e-01 4.3480339e+04
2.506585533e-01 1.2035742e+05
2.511598704e-01 1.8857326e+04
2.516621901e-01 6.9539896e+04
2.521655145e-01 2.1924333e+04
2.526698455e-01 1.4515722e+04
2.531751852e-01 1.7644241e+05
2.536815356e-01 4.3691940e+05
2.541888986e-01 3.4345138e+05
2.546972764e-01 2.6064184e+05
2.552066710e-01 1.2400196e+06
2.557170843e-01 1.8644838e+06
2.562285185e-01 1.3081774e+06
2.567409755e-01 2.6324773e+05
2.572544575e-01 1.0616872e+06
2.577689664e-01 1.3103210e+06
2.582845043e-01 1.1927825e+06
2.588010734e-01 6.9029762e+05
2.593186755e-01 7.3488963e+05
2.598373128e-01 3.5063667e+06
2.603569875e-01 5.4892986e+06
2.608777014e-01 3.3638604e+06
2.613994569e-01 2.8793383e+06
2.619222558e-01 5.7422483e+06
2.624461003e-01 1.1059680e+07
2.629709925e-01 1.7728147e+07
2.634969345e-01 1.8819815e+07
2.640239283e-01 4.7245044e+07
2.645519762e-01 6.6675732e+06
2.650810801e-01 6.9025495e+06
2.656112423e-01 2.2103748e+07
2.661424648e-01 1.3138905e+07
2.666747497e-01 1.2013979e+07
2.672080992e-01 6.6032700e+06
2.677425154e-01 1.2711112e+07
2.682780004e-01 2.3963482e+07
2.688145564e-01 2.2012859e+07
2.693521856e-01 9.3064886e+06
2.698908899e-01 1.1768187e+07
2.704306717e-01 2.2189124e+07
2.709715331e-01 1.7267378e+07
2.715134761e-01 5.3038653e+06
2.720565031e-01 1.6708891e+05
2.726006161e-01 3.6194558e+06
2.731458173e-01 7.7437330e+06
2.736921089e-01 2.6484140e+06
2.742394932e-01 3.0143109e+06
2.747879721e-01 6.8662904e+06
2.753375481e-01 7.5359830e+06
2.758882232e-01 1.3148087e+07
2.764399996e-01 4.0584256e+07
2.769928796e-01 3.3257422e+07
2.775468654e-01 4.3244638e+07
2.781019591e-01 2.3265345e+07
2.786581630e-01 3.1383592e+07
2.792154794e-01 2.6344256e+07
2.797739103e-01 3.9866285e+06
2.803334581e-01 1.2836303e+07
2.808941251e-01 2.5087259e+07
2.814559133e-01 2.5650342e+07
2.820188251e-01 1.8643069e+07
2.825828628e-01 1.2180976e+07
2.831480285e-01 8.7881352e+06
2.837143246e-01 3.9607198e+06
2.842817532e-01 1.3671925e+06
2.848503167e-01 1.3968113e+05
2.854200174e-01 1.4895478e+04
2.859908574e-01 5.9004025e+05
2.865628391e-01 3.1157487e+06
2.871359648e-01 7.5572643e+06
2.877102367e-01 1.4584639e+07
2.882856572e-01 3.2826778e+07
2.888622285e-01 5.6728721e+07
2.894399530e-01 8.1826206e+07
2.900188329e-01 9.9645469e+07
2.905988705e-01 1.3495744e+08
2.911800683e-01 8.5959835e+07
2.917624284e-01 1.8494791e+08
2.923459533e-01 2.7492887e+08
2.929306452e-01 9.5229876e+07
2.935165065e-01 7.3544884e+07
2.941035395e-01 4.0001705e+07
2.946917466e-01 3.3871370e+07
2.952811301e-01 4.7822145e+07
2.958716923e-01 6.1536314e+07
2.964634357e-01 4.9450197e+07
2.970563626e-01 6.3705084e+06
2.976504753e-01 4.7573722e+07
2.982457762e-01 2.8214240e+07
2.988422678e-01 7.1756511e+07
2.994399523e-01 2.9372453e+07
3.000388322e-01 2.4515243e+07
3.006389099e-01 2.6722981e+07
3.012401877e-01 5.8652504e+07
3.018426681e-01 1.5994743e+07
3.024463534e-01 4.7065735e+06
3.030512461e-01 1.1423332e+08
3.036573486e-01 9.4083130e+07
3.042646633e-01 1.1896058e+08
3.048731927e-01 2.9318282e+07
3.054829390e-01 1.0422189e+08
3.060939049e-01 8.9210093e+07
3.067060927e-01 6.1953388e+08
3.073195049e-01 1.5211291e+09
3.079341439e-01 6.2150701e+08
3.085500122e-01 4.1177345e+08
3.091671122e-01 2.9216099e+08
3.097854465e-01 3.9027516e+08
3.104050174e-01 7.2543254e+08
3.110258274e-01 5.5051328e+09
3.116478790e-01 5.0276459e+09
3.122711748e-01 9.8647894e+09
3.128957172e-01 8.6004437e+09
3.135215086e-01 2.5920761e+09
3.141485516e-01 1.0010876e+10
3.147768487e-01 1.3737895e+10
3.154064024e-01 1.7070775e+10
3.160372152e-01 1.3668350e+10
3.166692896e-01 2.2685506e+10
3.173026282e-01 2.4962157e+10
3.179372335e-01 1.8578052e+10
3.185731079e-01 3.8215843e+09
3.192102542e-01 4.2607885e+09
3.198486747e-01 3.2982150e+09
3.204883720e-01 1.7432396e+10
3.211293488e-01 1.9120098e+10
3.217716075e-01 1.0713499e+10
3.224151507e-01 1.1109121e+10
3.230599810e-01 6.8151653e+09
3.237061009e-01 7.1358903e+09
3.243535131e-01 1.0572498e+10
3.250022202e-01 1.0530397e+10
3.256522246e-01 4.5603080e+10
3.263035291e-01 4.4698575e+10
3.269561361e-01 3.1788552e+10
3.276100484e-01 2.6780046e+10
3.282652685e-01 4.7265619e+10
3.289217990e-01 4.7444279e+10
3.295796426e-01 4.3185909e+10
3.302388019e-01 4.8463899e+09
3.308992795e-01 2.2813557e+10
3.315610781e-01 2.4667342e+10
3.322242002e-01 2.9054403e+10
3.328886486e-01 8.7672943e+10
3.335544259e-01 5.5639497e+10
3.342215348e-01 4.3287549e+10
3.348899778e-01 4.0550741e+10
3.355597578e-01 2.5488831e+10
3.362308773e-01 2.0650714e+10
3.369033391e-01 7.9288351e+09
3.375771457e-01 9.7711101e+09
3.382523000e-01 1.5563191e+10
3.389288046e-01 1.3343637e+10
3.396066622e-01 1.3057367e+10
3.402858756e-01 2.8891992e+10
3.409664473e-01 1.0570958e+10
3.416483802e-01 1.5843223e+09
3.423316770e-01 9.3725446e+09
3.430163403e-01 7.7522778e+09
3.437023730e-01 7.8482636e+08
3.443897778e-01 1.4727519e+08
3.450785573e-01 2.2853720e+09
3.457687144e-01 3.1022306e+09
3.464602519e-01 1.3112179e+09
3.471531724e-01 3.7153316e+09
3.478474787e-01 2.7456769e+09
3.485431737e-01 8.0672690e+09
3.492402600e-01 9.3543218e+08
3.499387405e-01 3.0677569e+09
3.506386180e-01 2.0770820e+10
3.513398952e-01 3.4734639e+09
3.520425750e-01 5.8591510e+09
3.527466602e-01 1.7719771e+09
3.534521535e-01 4.3202768e+10
3.541590578e-01 8.0125923e+10
3.548673759e-01 6.3905320e+10
3.555771107e-01 3.5434513e+10
3.562882649e-01 1.5565609e+10
3.570008414e-01 2.8429114e+09
3.577148431e-01 2.4456314e+09
3.584302728e-01 1.9928504e+09
3.591471333e-01 2.5945590e+09
3.598654276e-01 4.9529923e+09
3.605851585e-01 2.0332328e+09
3.613063288e-01 1.1625281e+10
3.620289414e-01 1.2259882e+10
3.627529993e-01 3.3902388e+10
3.634785053e-01 1.9186254e+10
3.642054623e-01 4.3345739e+10
3.649338733e-01 1.0776252e+10
3.656637410e-01 5.4716150e+10
3.663950685e-01 9.3943816e+10
3.671278586e-01 6.8240654e+10
3.678621143e-01 1.5027632e+10
3.685978386e-01 1.3035932e+10
3.693350342e-01 4.4005877e+10
3.700737043e-01 3.2476762e+10
3.708138517e-01 2.4322188e+09
3.715554794e-01 4.5400431e+09
3.722985904e-01 7.5518009e+08
3.730431876e-01 3.1342175e+09
3.737892739e-01 5.9127245e+08
3.745368525e-01 1.1297632e+09
3.752859262e-01 6.0195090e+09
3.760364980e-01 1.4337959e+10
3.767885710e-01 2.4781847e+10
3.775421482e-01 7.3843154e+10
3.782972325e-01 9.0471656e+10
3.790538269e-01 5.5006048e+10
3.798119346e-01 3.0033841e+10
3.805715585e-01 9.9852464e+10
3.813327016e-01 4.8486529e+10
3.820953670e-01 8.7237257e+09
3.828595577e-01 1.1684505e+10
3.836252768e-01 2.4258228e+10
3.843925274e-01 3.4517821e+10
3.851613124e-01 1.8901783e+10
3.859316351e-01 9.3202452e+08
3.867034983e-01 1.4494411e+10
3.874769053e-01 1.7707803e+10
3.882518591e-01 6.6788867e+09
3.890283629e-01 1.1686011e+10
3.898064196e-01 6.4510773e+09
3.905860324e-01 2.2612168e+10
3.913672045e-01 7.4770153e+10
3.921499389e-01 1.2376532e+10
3.929342388e-01 5.6099958e+09
3.937201073e-01 3.8643384e+10
3.945075475e-01 1.0903460e+10
3.952965626e-01 4.2637719e+10
3.960871557e-01 8.5455951e+09
3.968793300e-01 3.7425017e+10
3.976730887e-01 1.2291600e+11
3.984684348e-01 1.8776812e+11
