wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 1.012023e-27
1.001000e+03, 5.305936e-29
1.002001e+03, 1.530305e-35
1.003003e+03, 2.836267e-34
1.004006e+03, 1.164433e-32
1.005010e+03, 1.045847e-30
1.006015e+03, 3.412140e-34
1.007021e+03, 1.288804e-31
1.008028e+03, 5.334425e-33
1.009036e+03, 1.162347e-35
1.010045e+03, 4.258580e-35
1.011055e+03, 3.406945e-33
1.012066e+03, 1.073829e-34
1.013078e+03, 2.150459e-36
1.014091e+03, 1.504032e-36
1.015105e+03, 7.257315e-32
1.016121e+03, 6.188181e-31
1.017137e+03, 3.333026e-35
1.018154e+03, 1.590451e-31
1.019172e+03, 1.738585e-31
1.020191e+03, 1.001792e-31
1.021211e+03, 6.453563e-30
1.022233e+03, 3.874790e-28
1.023255e+03, 6.411225e-30
1.024278e+03, 2.594363e-31
1.025302e+03, 2.354564e-33
1.026328e+03, 1.517190e-32
1.027354e+03, 4.916281e-29
1.028381e+03, 3.322902e-33
1.029410e+03, 5.929723e-31
1.030439e+03, 1.584274e-29
1.031470e+03, 2.695262e-31
1.032501e+03, 4.511555e-28
1.033533e+03, 5.033929e-28
1.034567e+03, 1.537738e-28
1.035602e+03, 6.052977e-30
1.036637e+03, 1.396094e-32
1.037674e+03, 2.126441e-31
1.038712e+03, 2.428983e-30
1.039750e+03, 3.574037e-30
1.040790e+03, 3.625345e-32
1.041831e+03, 1.489098e-28
1.042873e+03, 4.707505e-28
1.043915e+03, 1.159482e-29
1.044959e+03, 8.816109e-27
1.046004e+03, 7.789376e-26
1.047050e+03, 9.736846e-26
1.048097e+03, 1.141428e-28
1.049145e+03, 4.222919e-32
1.050195e+03, 1.434182e-30
1.051245e+03, 9.059738e-32
1.052296e+03, 4.388648e-30
1.053348e+03, 6.873107e-31
1.054402e+03, 3.359495e-28
1.055456e+03, 3.149140e-27
1.056512e+03, 4.109811e-30
1.057568e+03, 5.325901e-28
1.058626e+03, 5.736548e-28
1.059684e+03, 1.266891e-25
1.060744e+03, 1.550658e-27
1.061805e+03, 7.137230e-29
1.062867e+03, 1.954594e-28
1.063929e+03, 7.209323e-29
1.064993e+03, 1.878092e-31
1.066058e+03, 2.172434e-27
1.067124e+03, 1.155748e-29
