wavelength[Angstrom], flux[erg / (cm3 s)]
1.000000e+03, 4.726151e-03
1.001000e+03, 2.546537e-03
1.002001e+03, 9.565714e-04
1.003003e+03, 1.408867e-03
1.004006e+03, 1.587339e-03
1.005010e+03, 1.653822e-03
1.006015e+03, 7.250337e-04
1.007021e+03, 1.808112e-03
1.008028e+03, 1.245506e-03
1.009036e+03, 1.592277e-03
1.010045e+03, 1.569879e-03
1.011055e+03, 1.716199e-03
1.012066e+03, 1.907208e-03
1.013078e+03, 1.377214e-03
1.014091e+03, 1.100263e-03
1.015105e+03, 4.146386e-03
1.016121e+03, 3.173382e-03
1.017137e+03, 1.468607e-03
1.018154e+03, 1.571174e-03
1.019172e+03, 3.753195e-03
1.020191e+03, 4.207498e-03
1.021211e+03, 2.269064e-03
1.022233e+03, 1.433175e-03
1.023255e+03, 1.250034e-03
1.024278e+03, 6.123246e-04
1.025302e+03, 4.086612e-05
1.026328e+03, 8.363372e-05
1.027354e+03, 9.809030e-04
1.028381e+03, 1.517619e-03
1.029410e+03, 2.677830e-03
1.030439e+03, 4.525821e-03
1.031470e+03, 4.645474e-03
1.032501e+03, 1.692014e-02
1.033533e+03, 5.874219e-03
1.034567e+03, 1.117287e-02
1.035602e+03, 7.787394e-03
1.036637e+03, 7.774192e-03
1.037674e+03, 3.113402e-02
1.038712e+03, 1.418144e-02
1.039750e+03, 1.393394e-02
1.040790e+03, 1.364730e-02
1.041831e+03, 2.145003e-02
1.042873e+03, 2.769415e-02
1.043915e+03, 2.201550e-02
1.044959e+03, 3.266602e-02
1.046004e+03, 1.815517e-02
1.047050e+03, 1.360381e-02
1.048097e+03, 1.794935e-02
1.049145e+03, 2.760861e-02
1.050195e+03, 1.161146e-02
1.051245e+03, 1.616946e-02
1.052296e+03, 1.418703e-02
1.053348e+03, 2.272744e-02
1.054402e+03, 3.367007e-02
1.055456e+03, 2.863294e-02
1.056512e+03, 2.279785e-02
1.057568e+03, 2.291126e-02
1.058626e+03, 1.695778e-02
1.059684e+03, 5.114092e-02
1.060744e+03, 1.009490e-01
1.061805e+03, 2.544470e-02
1.062867e+03, 6.546519e-02
1.063929e+03, 1.074809e-01
1.064993e+03, 1.988828e-02
1.066058e+03, 6.077725e-02
1.067124e+03, 5.406461e-02
1.068191e+03, 7.584466e-02
1.069260e+03, 7.884284e-02
1.070329e+03, 5.481520e-02
1.071399e+03, 5.047502e-02
1.072471e+03, 5.527747e-02
1.073543e+03, 8.894811e-02
1.074617e+03, 8.427412e-02
1.075691e+03, 1.941761e-01
1.076767e+03, 8.996293e-02
1.077844e+03, 4.082697e-02
1.078922e+03, 7.525635e-02
1.080001e+03, 1.777158e-01
1.081081e+03, 1.041046e-01
1.082162e+03, 2.337586e-01
1.083244e+03, 2.393263e-01
1.084327e+03, 2.170718e-01
1.085411e+03, 8.647971e-02
1.086497e+03, 1.652224e-01
1.087583e+03, 1.770666e-01
1.088671e+03, 1.948001e-01
1.089759e+03, 1.661267e-01
1.090849e+03, 2.794123e-01
1.091940e+03, 3.436662e-01
1.093032e+03, 3.448448e-01
1.094125e+03, 6.215777e-02
1.095219e+03, 2.987674e-01
1.096314e+03, 3.450224e-01
1.097411e+03, 2.827411e-01
1.098508e+03, 3.310664e-01
1.099607e+03, 1.406268e-01
1.100706e+03, 1.542836e-01
1.101807e+03, 1.803306e-01
1.102909e+03, 9.777015e-01
1.104012e+03, 4.516673e-01
1.105116e+03, 5.435767e-01
1.106221e+03, 6.083945e-01
1.107327e+03, 8.094585e-01
1.108434e+03, 2.523386e-01
1.109543e+03, 4.353669e-01
1.110652e+03, 5.817488e-01
1.111763e+03, 9.400348e-01
1.112875e+03, 9.926536e-01
1.113988e+03, 3.770797e-01
1.115102e+03, 4.200007e-01
1.116217e+03, 2.874144e-01
1.117333e+03, 9.639682e-01
1.118450e+03, 8.246152e-01
1.119569e+03, 6.199660e-01
1.120688e+03, 5.570001e-01
1.121809e+03, 1.453687e+00
1.122931e+03, 1.517791e+00
1.124054e+03, 8.887002e-01
1.125178e+03, 7.781030e-01
1.126303e+03, 3.273105e+00
1.127429e+03, 1.903955e+00
1.128557e+03, 1.799725e+00
1.129685e+03, 1.454053e+00
1.130815e+03, 1.785064e+00
1.131946e+03, 1.675234e+00
1.133078e+03, 2.086097e+00
1.134211e+03, 1.318622e+00
1.135345e+03, 1.002732e+00
1.136480e+03, 1.936020e+00
1.137617e+03, 2.028247e+00
1.138754e+03, 1.901001e+00
1.139893e+03, 1.110290e+00
1.141033e+03, 2.398365e+00
1.142174e+03, 2.851257e+00
1.143316e+03, 1.748139e+00
1.144460e+03, 1.496523e+00
1.145604e+03, 1.896771e+00
1.146750e+03, 1.938105e+00
1.147896e+03, 2.434374e+00
1.149044e+03, 1.539045e+00
1.150193e+03, 1.853846e+00
1.151344e+03, 1.702617e+00
1.152495e+03, 2.372215e+00
1.153647e+03, 2.265619e+00
1.154801e+03, 1.871810e+00
1.155956e+03, 2.123913e+00
1.157112e+03, 3.086248e+00
1.158269e+03, 2.536984e+00
1.159427e+03, 1.429953e+00
1.160587e+03, 3.126431e+00
1.161747e+03, 9.354692e-01
1.162909e+03, 2.139820e+00
1.164072e+03, 1.694206e+00
1.165236e+03, 1.299522e+00
1.166401e+03, 7.216287e-01
1.167568e+03, 1.475279e+00
1.168735e+03, 2.469181e+00
1.169904e+03, 1.231877e+00
1.171074e+03, 1.501202e+00
1.172245e+03, 1.447591e+00
1.173417e+03, 2.320978e+00
1.174590e+03, 2.239108e+00
1.175765e+03, 1.566537e+00
1.176941e+03, 3.189648e+00
1.178118e+03, 3.697887e+00
1.179296e+03, 3.018797e+00
1.180475e+03, 2.490824e+00
1.181656e+03, 3.019887e+00
1.182837e+03, 2.793421e+00
1.184020e+03, 3.111454e+00
1.185204e+03, 2.363015e+00
1.186389e+03, 2.414510e+00
1.187576e+03, 3.102342e+00
1.188763e+03, 3.173504e+00
1.189952e+03, 3.498475e+00
1.191142e+03, 2.960089e+00
1.192333e+03, 2.296848e+00
1.193526e+03, 2.373261e+00
1.194719e+03, 6.083225e+00
1.195914e+03, 1.214181e+01
1.197110e+03, 2.826093e+01
1.198307e+03, 1.179566e+01
1.199505e+03, 1.599332e+01
1.200705e+03, 1.585332e+01
1.201905e+03, 1.070842e+01
1.203107e+03, 1.401963e+01
1.204310e+03, 1.017246e+01
1.205515e+03, 9.071775e+00
1.206720e+03, 9.642107e+00
1.207927e+03, 6.332999e+00
1.209135e+03, 5.081232e+00
1.210344e+03, 1.941367e+00
1.211554e+03, 1.693976e+00
1.212766e+03, 8.069474e-01
1.213979e+03, 2.658101e-01
1.215193e+03, 3.910960e-02
1.216408e+03, 6.370392e-02
1.217624e+03, 4.095150e-01
1.218842e+03, 1.108421e+00
1.220061e+03, 2.426370e+00
1.221281e+03, 4.985682e+00
1.222502e+03, 7.839180e+00
1.223724e+03, 1.327491e+01
1.224948e+03, 1.380518e+01
1.226173e+03, 2.918359e+01
1.227399e+03, 2.049420e+01
1.228627e+03, 3.363619e+01
1.229855e+03, 2.847073e+01
1.231085e+03, 5.222109e+01
